label,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes,Tenure,Tenure_W,Tenure_L,Tenure_PW,Tenure_PL,Total_W,Total_L,Total_PW,Total_PL,Exp,Fired
ShulDo063,1963,33,BAL,NFL,14,8,6,0,0.571,2.0,0.8,1.2,0,0,0,0.0,3,0.0,0.0,N/A,1.0,8.0,6.0,0.0,0.0,8.0,6.0,0.0,0.0,1.0,0.0
ShulDo064,1964,34,BAL,NFL,14,12,2,0,0.857,15.5,9.3,6.2,1,0,1,0.0,1,0.0,0.0,N/A,2.0,20.0,8.0,0.0,1.0,20.0,8.0,0.0,1.0,2.0,0.0
ShulDo065,1965,35,BAL,NFL,14,10,3,1,0.769,12.9,7.0,5.9,1,0,1,0.0,1,0.0,0.0,N/A,3.0,30.0,11.0,0.0,2.0,30.0,11.0,0.0,2.0,3.0,0.0
ShulDo066,1966,36,BAL,NFL,14,9,5,0,0.643,7.6,2.2,5.5,0,0,0,0.0,2,0.0,0.0,N/A,4.0,39.0,16.0,0.0,2.0,39.0,16.0,0.0,2.0,4.0,0.0
ShulDo067,1967,37,BAL,NFL,14,11,1,2,0.917,13.2,6.4,6.8,0,0,0,0.0,1,0.0,0.0,N/A,5.0,50.0,17.0,0.0,2.0,50.0,17.0,0.0,2.0,5.0,0.0
ShulDo068,1968,38,BAL,NFL,14,13,1,0,0.929,17.9,8.0,9.9,3,2,1,0.667,1,0.0,0.0,NFL Champions,6.0,63.0,18.0,2.0,3.0,63.0,18.0,2.0,3.0,6.0,0.0
ShulDo069,1969,39,BAL,NFL,14,8,5,1,0.615,3.0,0.5,2.5,0,0,0,0.0,2,0.0,0.0,N/A,7.0,71.0,23.0,2.0,3.0,71.0,23.0,2.0,3.0,7.0,1.0
ShulDo070,1970,40,MIA,NFL,14,10,4,0,0.714,-1.3,-1.3,0.0,1,0,1,0.0,2,0.0,0.0,N/A,1.0,10.0,4.0,0.0,1.0,81.0,27.0,2.0,4.0,8.0,0.0
ShulDo071,1971,41,MIA,NFL,14,10,3,1,0.769,7.7,2.4,5.3,3,2,1,0.667,1,0.0,0.0,AFC Champions,2.0,20.0,7.0,2.0,2.0,91.0,30.0,4.0,5.0,9.0,0.0
ShulDo072,1972,42,MIA,NFL,14,14,0,0,1.0,11.0,4.5,6.5,3,3,0,1.0,1,0.0,0.0,Super Bowl Champions,3.0,34.0,7.0,5.0,2.0,105.0,30.0,7.0,5.0,10.0,0.0
