,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes,Num,Won,id
0,2012,40,OAK,NFL,16,4,12,0,0.25,-10.8,-4.6,-6.2,0.0,0.0,0.0,0.0,3.0,0,4.0,4.0,AlleDe0
1,2013,41,OAK,NFL,16,4,12,0,0.25,-8.0,-3.8,-4.2,0.0,0.0,0.0,0.0,4.0,0,4.0,1.0,AlleDe0
2,2014,42,OAK,NFL,4,0,4,0,0.0,-9.0,-4.3,-4.7,0.0,0.0,0.0,0.0,4.0,Fired after week 4,3.0,2.0,AlleDe0
3,2022,50,NOR,NFL,17,7,10,0,0.412,-1.2,-2.8,1.7,0.0,0.0,0.0,0.0,3.0,0,4.0,4.0,AlleDe0
4,2023,51,NOR,NFL,17,9,8,0,0.529,2.2,1.7,0.5,0.0,0.0,0.0,0.0,2.0,0,3.0,0.0,AlleDe0
5,2024,52,NOR,NFL,9,2,7,0,0.222,-4.1,-3.6,-0.5,0.0,0.0,0.0,0.0,4.0,fired after week 9,3.0,2.0,AlleDe0
6,1970,52,RAM,NFL,14,9,4,1,0.692,9.6,4.4,5.3,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,AlleGe0
7,1971,53,WAS,NFL,14,9,4,1,0.692,5.1,-0.6,5.8,1.0,0.0,1.0,0.0,2.0,0,0.0,0.0,AlleGe0
8,1972,54,WAS,NFL,14,11,3,0,0.786,6.3,2.7,3.7,3.0,2.0,1.0,0.667,1.0,NFC Champions,0.0,0.0,AlleGe0
9,1973,55,WAS,NFL,14,10,4,0,0.714,7.4,1.2,6.2,1.0,0.0,1.0,0.0,2.0,0,0.0,0.0,AlleGe0
10,1974,56,WAS,NFL,14,10,4,0,0.714,10.2,5.7,4.5,1.0,0.0,1.0,0.0,2.0,0,0.0,0.0,AlleGe0
11,1975,57,WAS,NFL,14,8,6,0,0.571,2.8,2.6,0.3,0.0,0.0,0.0,0.0,3.0,0,0.0,0.0,AlleGe0
12,1976,58,WAS,NFL,14,10,4,0,0.714,3.0,1.2,1.8,1.0,0.0,1.0,0.0,2.0,0,0.0,0.0,AlleGe0
13,1977,59,WAS,NFL,14,9,5,0,0.643,-0.5,-3.1,2.6,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,AlleGe0
14,2012,60,IND,NFL,12,9,3,0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"As interim coach, league awarded all W-L to Chuck Pagano and record is not reflected in career totals",0.0,0.0,AriaBr0
15,2013,61,ARI,NFL,16,10,6,0,0.625,6.4,2.7,3.7,0.0,0.0,0.0,0.0,3.0,0,6.0,4.0,AriaBr0
16,2014,62,ARI,NFL,16,11,5,0,0.688,2.0,-2.4,4.4,1.0,0.0,1.0,0.0,2.0,0,7.0,4.0,AriaBr0
17,2015,63,ARI,NFL,16,13,3,0,0.813,12.3,9.0,3.4,2.0,1.0,1.0,0.5,1.0,0,11.0,4.0,AriaBr0
18,2016,64,ARI,NFL,16,7,8,1,0.469,1.6,2.4,-0.8,0.0,0.0,0.0,0.0,2.0,0,5.0,1.0,AriaBr0
19,2017,65,ARI,NFL,16,8,8,0,0.5,-3.7,-4.0,0.2,0.0,0.0,0.0,0.0,3.0,0,6.0,4.0,AriaBr0
20,2019,67,TAM,NFL,16,7,9,0,0.438,0.4,4.9,-4.5,0.0,0.0,0.0,0.0,3.0,0,13.0,7.0,AriaBr0
21,2020,68,TAM,NFL,16,11,5,0,0.688,9.4,6.5,2.8,4.0,4.0,0.0,1.0,2.0,Super Bowl Champions,8.0,4.0,AriaBr0
22,2021,69,TAM,NFL,17,13,4,0,0.765,8.6,7.3,1.3,2.0,1.0,1.0,0.5,1.0,0,3.0,1.0,AriaBr0
23,1978,52,CHI,NFL,16,7,9,0,0.438,-2.4,-2.7,0.3,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,ArmsNe0
24,1979,53,CHI,NFL,16,10,6,0,0.625,0.0,-2.2,2.1,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,ArmsNe0
25,1980,54,CHI,NFL,16,7,9,0,0.438,1.4,-1.2,2.6,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,ArmsNe0
26,1981,55,CHI,NFL,16,6,10,0,0.375,-2.9,-4.4,1.5,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,ArmsNe0
27,1974,48,NYG,NFL,14,2,12,0,0.143,-5.6,-3.5,-2.1,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,ArnsBi0
28,1975,49,NYG,NFL,14,5,9,0,0.357,-6.8,-6.2,-0.6,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,ArnsBi0
29,1976,50,NYG,NFL,7,0,7,0,0.0,-3.4,-5.5,2.1,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,ArnsBi0
30,1970,42,WAS,NFL,14,6,8,0,0.429,3.0,3.6,-0.6,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,AustBi0
