,coy_rank,name,coy_share,year,id
0,1,Paul Brown,0.5,1970,BrowPa0
1,2,Don Shula,0.256,1970,ShulDo0
2,3,Dick Nolan,0.115,1970,NolaDi0
3,4,Bud Grant,0.064,1970,GranBu0
4,5,Tom Landry,0.032,1970,LandTo0
5,6,Don McCafferty,0.016,1970,McCaDo0
6,7,Joe Schmidt,0.008,1970,SchmJo0
7,8,Alex Webster,0.005,1970,WebsAl0
8,1,George Allen,0.44,1971,AlleGe0
9,2,Ed Khayat,0.107,1971,KhayEd0
10,3,Don Shula,0.107,1971,ShulDo0
11,4,John Mazur,0.04,1971,MazuJo0
12,5,Bud Grant,0.027,1971,GranBu0
13,6,Tommy Prothro,0.027,1971,ProtTo0
14,7,Tom Landry,0.013,1971,LandTo0
15,8,Don McCafferty,0.013,1971,McCaDo0
16,9,J.D. Roberts,0.013,1971,RobeJ
17,10,Nick Skorich,0.013,1971,SkorNi0
18,1,Don Shula,0.368,1972,ShulDo0
19,2,Dan Devine,0.329,1972,DeviDa0
20,3,Chuck Noll,0.158,1972,NollCh0
21,4,Nick Skorich,0.079,1972,SkorNi0
22,5,George Allen,0.066,1972,AlleGe0
23,1,Chuck Knox,0.551,1973,KnoxCh0
24,2,John Ralston,0.128,1973,RalsJo0
25,3,Paul Brown,0.16,1973,BrowPa0
26,4,Mike McCormack,0.08,1973,McCoMi0
27,5,John North,0.04,1973,NortJo0
28,6,Lou Saban,0.02,1973,SabaLo0
29,1,Don Coryell,0.641,1974,CoryDo0
30,2,Sid Gillman,0.154,1974,GillSi0
31,3,Chuck Fairbanks,0.102,1974,FairCh0
32,4,John Madden,0.051,1974,MaddJo0
33,5,Lou Saban,0.026,1974,SabaLo0
34,1,Ted Marchibroda,0.654,1975,MarcTe0
35,2,Bum Phillips,0.154,1975,PhilBu0
36,3,Don Shula,0.077,1975,ShulDo0
37,4,Tom Landry,0.051,1975,LandTo0
38,5,Don Coryell,0.038,1975,CoryDo0
39,6,Bud Grant,0.026,1975,GranBu0
40,1,Forrest Gregg,0.381,1976,GregFo0
41,2,Chuck Fairbanks,0.333,1976,FairCh0
42,3,George Allen,0.143,1976,AlleGe0
43,4,Tom Landry,0.072,1976,LandTo0
44,5,John Madden,0.036,1976,MaddJo0
45,6,Ted Marchibroda,0.018,1976,MarcTe0
46,7,Jack Pardee,0.009,1976,PardJa0
47,8,Jack Patera,0.004,1976,PateJa0
48,1,Red Miller,0.69,1977,MillRe0
49,2,Don Shula,0.298,1977,ShulDo0
50,3,Leeman Bennett,0.012,1977,BennLe0
51,1,Jack Patera,0.298,1978,PateJa0
52,2,Walt Michaels,0.25,1978,MichWa0
53,3,Dick Vermeil,0.155,1978,VermDi0
54,4,Bum Phillips,0.107,1978,PhilBu0
55,5,Leeman Bennett,0.095,1978,BennLe0
56,6,Don Coryell,0.047,1978,CoryDo0
57,7,Chuck Fairbanks,0.024,1978,FairCh0
58,8,Tom Landry,0.012,1978,LandTo0
59,9,Chuck Noll,0.006,1978,NollCh0
60,10,Don Shula,0.004,1978,ShulDo0
61,11,Bart Starr,0.004,1978,StarBa0
62,1,Jack Pardee,0.357,1979,PardJa0
63,2,Dick Vermeil,0.274,1979,VermDi0
64,3,Don Coryell,0.119,1979,CoryDo0
65,4,John McKay,0.083,1979,McKaJo0
66,5,Sam Rutigliano,0.071,1979,RutiSa0
67,6,Bum Phillips,0.048,1979,PhilBu0
68,1,Chuck Knox,0.327,1980,KnoxCh0
69,2,Leeman Bennett,0.315,1980,BennLe0
70,3,Sam Rutigliano,0.214,1980,RutiSa0
71,4,Tom Flores,0.048,1980,FlorTo0
72,1,Bill Walsh,0.732,1981,WalsBi0
73,2,Forrest Gregg,0.185,1981,GregFo0
74,3,Don Shula,0.036,1981,ShulDo0
75,4,Tom Landry,0.024,1981,LandTo0
76,5,Walt Michaels,0.012,1981,MichWa0
77,6,Dan Reeves,0.012,1981,ReevDa0
78,1,Joe Gibbs,0.583,1982,GibbJo0
79,2,Tom Flores,0.167,1982,FlorTo0
80,3,Tom Landry,0.071,1982,LandTo0
