Abbrev,win_pct,wins_exp,Round
RAM,0.73,12.48,4.17
BUF,0.66,11.21,2.27
RAV,0.66,11.19,2.08
SEA,0.64,10.84,2.08
KAN,0.63,10.77,1.56
SDG,0.62,10.52,1.39
SFO,0.62,10.5,1.39
NWE,0.61,10.45,1.32
PHI,0.58,9.88,1.32
GNB,0.58,9.83,1.32
DEN,0.58,9.8,1.32
DET,0.55,9.43,1.32
HTX,0.5,8.5,1.19
CIN,0.5,8.49,1.09
DAL,0.49,8.38,0.96
CHI,0.49,8.3,0.96
JAX,0.48,8.11,0.81
TAM,0.47,7.97,0.49
MIN,0.47,7.93,0.49
NYG,0.45,7.57,0.37
WAS,0.44,7.54,0.37
CLT,0.44,7.47,0.37
PIT,0.43,7.32,0.31
NOR,0.43,7.27,0.25
CAR,0.42,7.21,0.25
ATL,0.41,6.98,0.25
RAI,0.4,6.72,0.17
OTI,0.39,6.68,0.1
NYJ,0.38,6.45,0.1
CLE,0.37,6.28,0.1
MIA,0.3,5.09,0.05
CRD,0.23,3.99,0.05
