,fired,prob,year,tm,id,age,round,win_pct,w_plyf,exp,tenure,tenure_over_500,tenure_w_plyf,tenure_coy_share,exp_coy_share,srs,ou,gm,owner,coy_share,coy_rank,poc,delta_1yr_win_pct,delta_2yr_win_pct,delta_3yr_win_pct,delta_1yr_plyf,delta_2yr_plyf,delta_3yr_plyf,pred,name,team,win_pct_proj,color1,color2,wins,losses,l_plyf,ou_line
1,0,0.56,2026,CIN,TaylZa0,42,0.0,0.353,0.0,8,8,-11,5.0,0.04,0.04,-5.1,-3.5,1,-1,0.0,0,0,-0.176,-0.176,-0.397,0.0,0.0,-3.0,1,Zac Taylor,CIN,0.353,FB4F14,000000,0,0,0,8.49
2,0,0.11,2026,GNB,LaFlMa0,46,1.0,0.559,0.0,8,8,36,3.0,0.292,0.292,1.0,-1.5,1,-1,0.0,0,0,-0.088,0.03,0.088,1.0,1.0,1.0,0,Matt LaFleur,GNB,0.559,203731,FFB612,0,0,0,9.83
3,0,0.46,2026,WAS,QuinDa0,55,0.0,0.294,0.0,9,3,0,2.0,0.081,0.081,-5.7,-4.5,1,-1,0.0,0,0,-0.412,0.059,-0.206,-3.0,0.0,0.0,0,Dan Quinn,WAS,0.294,773141,FFB612,0,0,0,7.54
4,0,0.0,2026,JAX,CoenLi0,40,1.0,0.765,0.0,2,2,9,0.0,0.235,0.235,8.7,5.5,1,0,0.235,2,0,0.53,0.236,0.236,1.0,1.0,-1.0,0,Liam Coen,JAX,0.765,006778,9F792C,0,0,0,8.11
5,0,0.01,2026,SFO,ShanKy0,46,2.0,0.706,1.0,10,10,15,9.0,0.708,0.708,6.0,1.5,1,-1,0.138,5,0,0.353,0.0,-0.059,2.0,-2.0,-1.0,0,Kyle Shanahan,SFO,0.706,AA0000,B3995D,0,0,0,10.5
6,0,0.01,2026,CHI,JohnBe0,39,2.0,0.647,1.0,2,2,5,1.0,0.143,0.143,0.5,2.5,1,0,0.143,4,0,0.353,0.235,0.471,2.0,2.0,2.0,0,Ben Johnson,CHI,0.647,0B162A,C83803,0,0,0,8.3
7,0,0.02,2026,DEN,PaytSe0,62,3.0,0.824,1.0,19,4,13,1.0,0.068,1.259,3.5,4.5,1,-1,0.0,0,0,0.236,0.353,0.53,2.0,3.0,3.0,0,Sean Payton,DEN,0.824,002244,FB4F14,0,0,0,9.8
8,0,0.03,2026,NWE,VrabMi0,50,4.0,0.824,3.0,8,2,11,3.0,0.297,1.017,5.5,5.5,1,0,0.297,1,0,0.589,0.589,0.353,4.0,4.0,4.0,0,Mike Vrabel,NWE,0.824,002244,C60C30,0,0,0,10.45
9,0,0.03,2026,HOU,RyanDe0,41,2.0,0.706,1.0,4,4,13,3.0,0.367,0.367,8.6,2.5,1,-1,0.0,0,1,0.118,0.118,0.5,0.0,0.0,2.0,0,DeMeco Ryans,HTX,0.706,03202F,A71930,0,0,0,8.5
10,0,0.04,2026,BUF,BradJo0,37,2.27,0.706,0.98,1,1,0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0,0,-0.059,0.059,-0.107,-1.0,0.0,0.0,0,Joe Brady,BUF,0.66,00338D,C60C30,0,0,0,11.21
11,0,0.04,2026,RAV,MintJe0,43,2.08,0.471,0.9,1,1,0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0,0,-0.235,-0.294,-0.117,-2.0,-3.0,-1.0,0,Jesse Minter,RAV,0.66,241773,9E7C0C,0,0,0,11.19
12,0,0.05,2026,SEA,MacdMi0,38,5.0,0.824,3.0,3,3,14,3.0,0.188,0.188,12.8,5.5,1,-1,0.188,3,0,0.236,0.295,0.295,5.0,5.0,4.0,0,Mike Macdonald,SEA,0.824,002244,69BE28,0,0,0,10.84
13,0,0.06,2026,RAI,KubiKl0,39,0.17,0.176,0.07,1,1,0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0,0,-0.059,-0.295,-0.177,0.0,0.0,0.0,0,Klint Kubiak,RAI,0.4,A5ACAF,000000,0,0,0,6.72
