,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1946,38,CLE,AAFC,14,12,2,0,0.857,17.9,9.3,8.6,1.0,1.0,0.0,1.0,1.0,AAFC Champions
1,1947,39,CLE,AAFC,14,12,1,1,0.923,14.1,7.1,7.0,1.0,1.0,0.0,1.0,1.0,AAFC Champions
2,1948,40,CLE,AAFC,14,14,0,0,1.0,12.4,3.7,8.7,1.0,1.0,0.0,1.0,1.0,AAFC Champions
3,1949,41,CLE,AAFC,12,9,1,2,0.9,11.8,5.8,6.0,2.0,2.0,0.0,1.0,1.0,AAFC Champions
4,1950,42,CLE,NFL,12,10,2,0,0.833,15.6,5.8,9.7,2.0,2.0,0.0,1.0,1.0,NFL Champions
5,1951,43,CLE,NFL,12,11,1,0,0.917,14.6,6.9,7.8,1.0,0.0,1.0,0.0,1.0,
6,1952,44,CLE,NFL,12,8,4,0,0.667,8.7,4.8,3.9,1.0,0.0,1.0,0.0,1.0,
7,1953,45,CLE,NFL,12,11,1,0,0.917,14.0,7.0,7.0,1.0,0.0,1.0,0.0,1.0,
8,1954,46,CLE,NFL,12,9,3,0,0.75,10.4,3.6,6.8,1.0,1.0,0.0,1.0,1.0,NFL Champions
9,1955,47,CLE,NFL,12,9,2,1,0.818,12.0,9.4,2.6,1.0,1.0,0.0,1.0,1.0,NFL Champions
10,1956,48,CLE,NFL,12,5,7,0,0.417,-2.4,-6.8,4.5,,,,,4.0,
11,1957,49,CLE,NFL,12,9,2,1,0.818,6.8,2.4,4.5,1.0,0.0,1.0,0.0,1.0,
12,1958,50,CLE,NFL,12,9,3,0,0.75,5.1,2.1,3.1,1.0,0.0,1.0,0.0,1.0,
13,1959,51,CLE,NFL,12,7,5,0,0.583,3.0,-0.2,3.3,,,,,2.0,
14,1960,52,CLE,NFL,12,8,3,1,0.727,11.0,8.2,2.9,,,,,2.0,
15,1961,53,CLE,NFL,14,8,5,1,0.615,1.6,0.4,1.2,,,,,3.0,
16,1962,54,CLE,NFL,14,7,6,1,0.538,-1.5,-5.0,3.5,,,,,3.0,
17,1968,60,CIN,AFL,14,3,11,0,0.214,-6.3,-6.5,0.1,,,,,5.0,
18,1969,61,CIN,AFL,14,4,9,1,0.308,-4.2,0.0,-4.2,,,,,5.0,
19,1970,62,CIN,NFL,14,8,6,0,0.571,0.5,1.2,-0.6,1.0,0.0,1.0,0.0,1.0,
20,1971,63,CIN,NFL,14,4,10,0,0.286,-0.5,-0.4,-0.1,,,,,4.0,
21,1972,64,CIN,NFL,14,8,6,0,0.571,4.1,1.2,3.0,,,,,3.0,
22,1973,65,CIN,NFL,14,10,4,0,0.714,3.0,0.1,2.9,1.0,0.0,1.0,0.0,1.0,
23,1974,66,CIN,NFL,14,7,7,0,0.5,2.2,1.9,0.2,,,,,3.0,
24,1975,67,CIN,NFL,14,11,3,0,0.786,6.9,4.0,2.9,1.0,0.0,1.0,0.0,2.0,
25,25 yrs,25 yrs,,,326,213,104,9,0.672,,,,17.0,9.0,8.0,0.529,2.0,
26,17 yrs,17 yrs,CLE,,214,158,48,8,0.767,,,,14.0,9.0,5.0,0.643,1.5,
27,8 yrs,8 yrs,CIN,,112,55,56,1,0.495,,,,3.0,0.0,3.0,0.0,3.0,
