,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,1994,43,NYJ,NFL,16,6,10,0,0.375,-2.2,-3.7,1.5,,,,,5.0,,,
1,1997,46,NWE,NFL,16,10,6,0,0.625,5.3,2.3,3.0,2.0,1.0,1.0,0.5,1.0,,,
2,1998,47,NWE,NFL,16,9,7,0,0.563,3.9,1.1,2.8,1.0,0.0,1.0,0.0,4.0,,,
3,1999,48,NWE,NFL,16,8,8,0,0.5,2.2,-1.0,3.2,,,,,5.0,5.0,2.0,
4,2010,59,SEA,NFL,16,7,9,0,0.438,-9.4,-3.9,-5.5,2.0,1.0,1.0,0.5,1.0,14.0,6.0,
5,2011,60,SEA,NFL,16,7,9,0,0.438,0.8,-0.5,1.3,,,,,3.0,7.0,4.0,
6,2012,61,SEA,NFL,16,11,5,0,0.688,12.2,4.5,7.7,2.0,1.0,1.0,0.5,2.0,3.0,0.0,
7,2013,62,SEA,NFL,16,13,3,0,0.813,13.0,4.1,8.9,3.0,3.0,0.0,1.0,1.0,11.0,7.0,Super Bowl Champions
8,2014,63,SEA,NFL,16,12,4,0,0.75,9.5,2.4,7.1,3.0,2.0,1.0,0.667,1.0,7.0,2.0,NFC Champions
9,2015,64,SEA,NFL,16,10,6,0,0.625,11.3,5.4,6.0,2.0,1.0,1.0,0.5,2.0,11.0,5.0,
10,2016,65,SEA,NFL,16,10,5,1,0.656,2.1,-2.4,4.5,2.0,1.0,1.0,0.5,1.0,8.0,4.0,
11,2017,66,SEA,NFL,16,9,7,0,0.563,1.9,0.7,1.2,,,,,2.0,5.0,3.0,
12,2018,67,SEA,NFL,16,10,6,0,0.625,4.5,3.0,1.5,1.0,0.0,1.0,0.0,2.0,6.0,4.0,
13,2019,68,SEA,NFL,16,11,5,0,0.688,2.7,2.9,-0.2,2.0,1.0,1.0,0.5,2.0,14.0,5.0,
14,2020,69,SEA,NFL,16,12,4,0,0.75,5.5,4.8,0.7,1.0,0.0,1.0,0.0,1.0,9.0,5.0,
15,2021,70,SEA,NFL,17,7,10,0,0.412,1.9,0.4,1.5,,,,,4.0,5.0,2.0,
16,2022,71,SEA,NFL,17,9,8,0,0.529,-0.5,1.9,-2.4,1.0,0.0,1.0,0.0,2.0,6.0,1.0,
17,2023,72,SEA,NFL,17,9,8,0,0.529,-1.0,-0.2,-0.8,,,,,3.0,6.0,3.0,
18,2025,74,LVR,NFL,17,3,14,0,0.176,-10.5,-8.1,-2.4,,,,,4.0,3.0,0.0,
19,19 yrs,19 yrs,,,308,173,134,1,0.563,,,,22.0,11.0,11.0,0.5,2.4,120.0,53.0,
20,14 yrs,14 yrs,SEA,,227,137,89,1,0.606,,,,19.0,10.0,9.0,0.526,1.9,112.0,51.0,
21,3 yrs,3 yrs,NWE,,48,27,21,0,0.563,,,,3.0,1.0,2.0,0.333,3.3,5.0,2.0,
22,1 yr,1 yr,LVR,,17,3,14,0,0.176,,,,,,,,4.0,3.0,0.0,
23,1 yr,1 yr,NYJ,,16,6,10,0,0.375,,,,0.0,0.0,0.0,,5.0,,,
