,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,1996,41,TAM,NFL,16,6,10,0,0.375,-3.0,-5.9,2.9,,,,,4.0,,,
1,1997,42,TAM,NFL,16,10,6,0,0.625,2.7,-2.4,5.1,2.0,1.0,1.0,0.5,2.0,,,
2,1998,43,TAM,NFL,16,8,8,0,0.5,1.3,-2.3,3.5,,,,,3.0,,,
3,1999,44,TAM,NFL,16,11,5,0,0.688,2.6,-4.1,6.7,2.0,1.0,1.0,0.5,1.0,8.0,2.0,
4,2000,45,TAM,NFL,16,10,6,0,0.625,7.3,3.4,3.9,1.0,0.0,1.0,0.0,2.0,2.0,2.0,
5,2001,46,TAM,NFL,16,9,7,0,0.563,4.0,0.7,3.3,1.0,0.0,1.0,0.0,3.0,9.0,4.0,
6,2002,47,IND,NFL,16,10,6,0,0.625,1.2,0.4,0.7,1.0,0.0,1.0,0.0,2.0,8.0,4.0,
7,2003,48,IND,NFL,16,12,4,0,0.75,7.0,8.2,-1.2,3.0,2.0,1.0,0.667,1.0,0.0,0.0,
8,2004,49,IND,NFL,16,12,4,0,0.75,11.4,11.7,-0.3,2.0,1.0,1.0,0.5,1.0,10.0,5.0,
9,2005,50,IND,NFL,16,14,2,0,0.875,10.8,5.6,5.2,1.0,0.0,1.0,0.0,1.0,6.0,2.0,
10,2006,51,IND,NFL,16,12,4,0,0.75,5.9,6.9,-1.1,4.0,4.0,0.0,1.0,1.0,13.0,4.0,Super Bowl Champions
11,2007,52,IND,NFL,16,13,3,0,0.813,12.0,6.6,5.4,1.0,0.0,1.0,0.0,1.0,8.0,4.0,
12,2008,53,IND,NFL,16,12,4,0,0.75,6.5,2.6,3.9,1.0,0.0,1.0,0.0,2.0,5.0,1.0,
13,13 yrs,13 yrs,,,208,139,69,0,0.668,,,,19.0,9.0,10.0,0.474,1.8,69.0,28.0,
14,7 yrs,7 yrs,IND,,112,85,27,0,0.759,,,,13.0,7.0,6.0,0.538,1.3,50.0,20.0,
15,6 yrs,6 yrs,TAM,,96,54,42,0,0.563,,,,6.0,2.0,4.0,0.333,2.5,19.0,8.0,
