,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1967,40,MIN,NFL,14,3,8,3,0.273,-2.1,-3.2,1.2,,,,,4.0,
1,1968,41,MIN,NFL,14,8,6,0,0.571,2.7,0.3,2.4,1.0,0.0,1.0,0.0,1.0,
2,1969,42,MIN,NFL,14,12,2,0,0.857,17.6,6.9,10.6,3.0,2.0,1.0,0.667,1.0,NFL Champions
3,1970,43,MIN,NFL,14,12,2,0,0.857,15.1,5.9,9.2,1.0,0.0,1.0,0.0,1.0,
4,1971,44,MIN,NFL,14,11,3,0,0.786,6.5,-3.4,9.9,1.0,0.0,1.0,0.0,1.0,
5,1972,45,MIN,NFL,14,7,7,0,0.5,6.1,2.6,3.4,,,,,3.0,
6,1973,46,MIN,NFL,14,12,2,0,0.857,8.6,1.7,6.9,3.0,2.0,1.0,0.667,1.0,NFC Champions
7,1974,47,MIN,NFL,14,10,4,0,0.714,6.1,3.6,2.5,3.0,2.0,1.0,0.667,1.0,NFC Champions
8,1975,48,MIN,NFL,14,12,2,0,0.857,8.9,3.5,5.4,1.0,0.0,1.0,0.0,1.0,
9,1976,49,MIN,NFL,14,11,2,1,0.821,9.3,3.7,5.7,3.0,2.0,1.0,0.667,1.0,NFC Champions
10,1977,50,MIN,NFL,14,9,5,0,0.643,-1.6,-1.0,-0.6,2.0,1.0,1.0,0.5,1.0,
11,1978,51,MIN,NFL,16,8,7,1,0.531,-0.2,1.0,-1.1,1.0,0.0,1.0,0.0,1.0,
12,1979,52,MIN,NFL,16,7,9,0,0.438,-7.5,-4.5,-3.1,,,,,3.0,
13,1980,53,MIN,NFL,16,9,7,0,0.563,-0.3,0.0,-0.3,1.0,0.0,1.0,0.0,1.0,
14,1981,54,MIN,NFL,16,7,9,0,0.438,-2.0,0.0,-2.1,,,,,4.0,
15,1982,55,MIN,NFL,9,5,4,0,0.556,1.2,2.1,-1.0,2.0,1.0,1.0,0.5,2.0,
16,1983,56,MIN,NFL,16,8,8,0,0.5,-3.1,-2.9,-0.1,,,,,4.0,
17,1985,58,MIN,NFL,16,7,9,0,0.438,-1.2,0.1,-1.3,,,,,3.0,
18,18 yrs,18 yrs,,,259,158,96,5,0.621,,,,22.0,10.0,12.0,0.455,1.9,
