,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1939,36,PIT,NFL,8,1,6,1,0.143,-9.4,-4.9,-4.6,,,,,4.0,
1,1940,37,PIT,NFL,11,2,7,2,0.222,-10.3,-9.5,-0.8,,,,,4.0,
2,1941,38,PIT,NFL,4,1,2,1,0.333,-14.4,-6.5,-7.9,,,,,5.0,
3,1942,39,PIT,NFL,11,7,4,0,0.636,2.7,-1.0,3.7,,,,,2.0,
4,1943,40,PHI,NFL,10,5,4,1,0.556,-1.5,3.7,-5.2,,,,,3.0,co-coach with Greasy Neale
5,1944,41,CRD,NFL,10,0,10,0,0.0,-17.9,-5.5,-12.3,,,,,5.0,co-coach with Phil Handler
6,1954,51,PIT,NFL,12,5,7,0,0.417,-6.0,-5.1,-0.9,,,,,4.0,
7,1955,52,PIT,NFL,12,4,8,0,0.333,-3.5,-2.5,-1.0,,,,,6.0,
8,1956,53,PIT,NFL,12,5,7,0,0.417,-2.9,-0.3,-2.6,,,,,4.0,
9,9 yrs,9 yrs,,,90,30,55,5,0.353,,,,0.0,0.0,0.0,,4.1,
10,7 yrs,7 yrs,PIT,,70,25,41,4,0.379,,,,0.0,0.0,0.0,,4.1,
11,1 yr,1 yr,CRD,,10,0,10,0,0.0,,,,0.0,0.0,0.0,,5.0,
12,1 yr,1 yr,PHI,,10,5,4,1,0.556,,,,0.0,0.0,0.0,,3.0,
