,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1978,53,KAN,NFL,16,4,12,0,0.25,-4.4,-3.0,-1.4,,,,,5.0,
1,1979,54,KAN,NFL,16,7,9,0,0.438,1.4,-4.0,5.4,,,,,5.0,
2,1980,55,KAN,NFL,16,8,8,0,0.5,-0.5,-0.8,0.3,,,,,3.0,
3,1981,56,KAN,NFL,16,9,7,0,0.563,3.2,0.4,2.8,,,,,3.0,
4,1982,57,KAN,NFL,9,3,6,0,0.333,-0.2,-1.9,1.6,,,,,4.0,
5,1986,61,BUF,NFL,7,2,5,0,0.286,-5.8,-5.0,-0.8,,,,,4.0,
6,1987,62,BUF,NFL,15,7,8,0,0.467,-0.2,-2.6,2.4,,,,,4.0,
7,1988,63,BUF,NFL,16,12,4,0,0.75,6.4,0.0,6.4,2.0,1.0,1.0,0.5,1.0,
8,1989,64,BUF,NFL,16,9,7,0,0.563,4.3,3.8,0.5,1.0,0.0,1.0,0.0,1.0,
9,1990,65,BUF,NFL,16,13,3,0,0.813,8.6,5.7,2.9,3.0,2.0,1.0,0.667,1.0,AFC Champions
10,1991,66,BUF,NFL,16,13,3,0,0.813,3.6,7.6,-4.1,3.0,2.0,1.0,0.667,1.0,AFC Champions
11,1992,67,BUF,NFL,16,11,5,0,0.688,4.3,4.7,-0.4,4.0,3.0,1.0,0.75,2.0,AFC Champions
12,1993,68,BUF,NFL,16,12,4,0,0.75,4.8,1.8,3.0,3.0,2.0,1.0,0.667,1.0,AFC Champions
13,1994,69,BUF,NFL,16,7,9,0,0.438,-0.2,1.5,-1.8,,,,,4.0,
14,1995,70,BUF,NFL,16,10,6,0,0.625,-0.9,-0.5,-0.4,2.0,1.0,1.0,0.5,1.0,
15,1996,71,BUF,NFL,16,10,6,0,0.625,2.9,-1.0,3.9,1.0,0.0,1.0,0.0,2.0,
16,1997,72,BUF,NFL,16,6,10,0,0.375,-4.5,-4.0,-0.5,,,,,4.0,
17,17 yrs,17 yrs,,,255,143,112,0,0.561,,,,19.0,11.0,8.0,0.579,2.7,
18,12 yrs,12 yrs,BUF,,182,112,70,0,0.615,,,,19.0,11.0,8.0,0.579,2.2,
19,5 yrs,5 yrs,KAN,,73,31,42,0,0.425,,,,0.0,0.0,0.0,,4.0,
