,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1973,43,PHI,NFL,14,5,8,1,0.393,-4.2,3.5,-7.7,,,,,3.0,
1,1974,44,PHI,NFL,14,7,7,0,0.5,2.9,0.0,3.0,,,,,4.0,
2,1975,45,PHI,NFL,14,4,10,0,0.286,-4.6,-4.0,-0.6,,,,,5.0,
3,1980,50,BAL,NFL,16,7,9,0,0.438,-1.5,2.8,-4.3,,,,,4.0,
4,1981,51,BAL,NFL,16,2,14,0,0.125,-15.8,-3.8,-12.0,,,,,4.0,
5,1982,52,SEA,NFL,7,4,3,0,0.571,-5.4,-7.5,2.0,,,,,3.0,
6,6 yrs,6 yrs,,,81,29,51,1,0.364,,,,0.0,0.0,0.0,,3.8,
7,3 yrs,3 yrs,PHI,,42,16,25,1,0.393,,,,0.0,0.0,0.0,,4.0,
8,2 yrs,2 yrs,BAL,,32,9,23,0,0.281,,,,0.0,0.0,0.0,,4.0,
9,1 yr,1 yr,SEA,,7,4,3,0,0.571,,,,0.0,0.0,0.0,,3.0,
