,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,2017,43,BUF,NFL,16,9,7,0,0.563,-4.0,-3.0,-1.0,1.0,0.0,1.0,0.0,2.0,4,1,
1,2018,44,BUF,NFL,16,6,10,0,0.375,-6.9,-6.3,-0.6,,,,,3.0,6,0,
2,2019,45,BUF,NFL,16,10,6,0,0.625,2.2,-3.5,5.7,1.0,0.0,1.0,0.0,2.0,5,2,
3,2020,46,BUF,NFL,16,13,3,0,0.813,7.7,7.1,0.6,3.0,2.0,1.0,0.667,1.0,5,2,
4,2021,47,BUF,NFL,17,11,6,0,0.647,9.8,5.0,4.8,2.0,1.0,1.0,0.5,1.0,3,1,
5,2022,48,BUF,NFL,16,13,3,0,0.813,10.9,7.1,3.8,2.0,1.0,1.0,0.5,1.0,4,1,
6,2023,49,BUF,NFL,17,11,6,0,0.647,6.5,4.1,2.3,2.0,1.0,1.0,0.5,1.0,6,3,
7,2024,50,BUF,NFL,17,13,4,0,0.765,8.1,7.8,0.3,3.0,2.0,1.0,0.667,1.0,5,1,
8,2025,51,BUF,NFL,17,12,5,0,0.706,4.5,4.9,-0.4,2.0,1.0,1.0,0.5,2.0,5,4,
9,9 yrs,9 yrs,,,148,98,50,0,0.662,,,,16.0,8.0,8.0,0.5,1.6,43,15,
