,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,2015,45,ATL,NFL,16,8,8,0,0.5,-3.8,-4.0,0.3,,,,,2.0,4,2,
1,2016,46,ATL,NFL,16,11,5,0,0.688,8.5,10.5,-2.0,3.0,2.0,1.0,0.667,1.0,8,6,NFC Champions
2,2017,47,ATL,NFL,16,10,6,0,0.625,4.3,1.1,3.2,2.0,1.0,1.0,0.5,3.0,4,2,
3,2018,48,ATL,NFL,16,7,9,0,0.438,-0.1,2.5,-2.6,,,,,2.0,1,0,
4,2019,49,ATL,NFL,16,7,9,0,0.438,-0.1,0.3,-0.4,,,,,2.0,5,0,
5,2020,50,ATL,NFL,5,0,5,0,0.0,0.7,-0.1,0.8,,,,,4.0,1,0,Fired after week 5
6,2024,54,WAS,NFL,17,12,5,0,0.706,3.7,4.9,-1.2,3.0,2.0,1.0,0.667,2.0,5,2,
7,2025,55,WAS,NFL,17,5,12,0,0.294,-5.7,-2.1,-3.6,,,,,3.0,5,2,
8,8 yrs,8 yrs,,,119,60,59,0,0.504,,,,8.0,5.0,3.0,0.625,2.4,33,14,
9,6 yrs,6 yrs,ATL,,85,43,42,0,0.506,,,,5.0,3.0,2.0,0.6,2.3,23,10,
10,2 yrs,2 yrs,WAS,,34,17,17,0,0.5,,,,3.0,2.0,1.0,0.667,2.5,10,4,
