,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,2011,49,CAR,NFL,16,6,10,0,0.375,-1.3,2.6,-3.9,,,,,3.0,3,0,
1,2012,50,CAR,NFL,16,7,9,0,0.438,0.8,-0.5,1.3,,,,,2.0,2,2,
2,2013,51,CAR,NFL,16,12,4,0,0.75,9.2,0.6,8.6,1.0,0.0,1.0,0.0,1.0,7,1,
3,2014,52,CAR,NFL,16,7,8,1,0.469,-3.1,-2.4,-0.7,2.0,1.0,1.0,0.5,1.0,7,3,
4,2015,53,CAR,NFL,16,15,1,0,0.938,8.1,6.0,2.1,3.0,2.0,1.0,0.667,1.0,17,10,NFC Champions
5,2016,54,CAR,NFL,16,6,10,0,0.375,-1.0,-0.2,-0.8,,,,,4.0,5,4,
6,2017,55,CAR,NFL,16,11,5,0,0.688,4.3,1.7,2.7,1.0,0.0,1.0,0.0,2.0,6,3,
7,2018,56,CAR,NFL,16,7,9,0,0.438,0.9,0.1,0.8,,,,,3.0,7,4,
8,2019,57,CAR,NFL,12,5,7,0,0.417,-7.0,-1.9,-5.1,,,,,4.0,4,1,Fired after Week 13
9,2020,58,WAS,NFL,16,7,9,0,0.438,-0.8,-4.1,3.2,1.0,0.0,1.0,0.0,1.0,7,4,
10,2021,59,WAS,NFL,17,7,10,0,0.412,-4.2,-2.7,-1.5,,,,,3.0,8,4,
11,2022,60,WAS,NFL,17,8,8,1,0.5,-0.9,-3.5,2.6,,,,,4.0,4,1,
12,2023,61,WAS,NFL,17,4,13,0,0.235,-11.1,-2.8,-8.4,,,,,4.0,5,2,
13,13 yrs,13 yrs,,,207,102,103,2,0.498,,,,8.0,3.0,5.0,0.375,2.5,82,39,
14,9 yrs,9 yrs,CAR,,140,76,63,1,0.546,,,,7.0,3.0,4.0,0.429,2.3,58,28,
15,4 yrs,4 yrs,WAS,,67,26,40,1,0.396,,,,1.0,0.0,1.0,0.0,3.0,24,11,
