,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,1992,57,SDG,NFL,16,11,5,0,0.688,3.1,1.9,1.3,2.0,1.0,1.0,0.5,1.0,,,
1,1993,58,SDG,NFL,16,8,8,0,0.5,2.3,1.1,1.1,,,,,4.0,,,
2,1994,59,SDG,NFL,16,11,5,0,0.688,3.6,2.9,0.7,3.0,2.0,1.0,0.667,1.0,,,AFC Champions
3,1995,60,SDG,NFL,16,9,7,0,0.563,1.5,-0.6,2.1,1.0,0.0,1.0,0.0,2.0,,,
4,1996,61,SDG,NFL,16,8,8,0,0.5,-1.8,0.4,-2.1,,,,,3.0,,,
5,1997,62,DET,NFL,16,9,7,0,0.563,4.0,3.0,0.9,1.0,0.0,1.0,0.0,3.0,,,
6,1998,63,DET,NFL,16,5,11,0,0.313,-3.4,-1.9,-1.5,,,,,4.0,,,
7,1999,64,DET,NFL,16,8,8,0,0.5,1.9,0.1,1.8,1.0,0.0,1.0,0.0,3.0,3.0,1.0,
8,2000,65,DET,NFL,9,5,4,0,0.556,1.4,-0.1,1.5,,,,,4.0,3.0,2.0,Resigned after week 10
9,9 yrs,9 yrs,,,137,74,63,0,0.54,,,,8.0,3.0,5.0,0.375,2.8,6.0,3.0,
10,5 yrs,5 yrs,SDG,,80,47,33,0,0.588,,,,6.0,3.0,3.0,0.5,2.2,,,
11,4 yrs,4 yrs,DET,,57,27,30,0,0.474,,,,2.0,0.0,2.0,0.0,3.5,6.0,3.0,
