,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,1989,49,SFO,NFL,16,14,2,0,0.875,10.7,5.8,4.9,3.0,3.0,0.0,1.0,1.0,,,Super Bowl Champions
1,1990,50,SFO,NFL,16,14,2,0,0.875,5.8,1.2,4.6,2.0,1.0,1.0,0.5,1.0,,,
2,1991,51,SFO,NFL,16,10,6,0,0.625,10.9,6.6,4.3,,,,,3.0,,,
3,1992,52,SFO,NFL,16,14,2,0,0.875,11.8,7.3,4.5,2.0,1.0,1.0,0.5,1.0,,,
4,1993,53,SFO,NFL,16,10,6,0,0.625,9.7,9.9,-0.3,2.0,1.0,1.0,0.5,1.0,,,
5,1994,54,SFO,NFL,16,13,3,0,0.813,11.6,9.9,1.7,3.0,3.0,0.0,1.0,1.0,,,Super Bowl Champions
6,1995,55,SFO,NFL,16,11,5,0,0.688,11.8,6.5,5.3,1.0,0.0,1.0,0.0,1.0,,,
7,1996,56,SFO,NFL,16,12,4,0,0.75,8.0,3.7,4.3,2.0,1.0,1.0,0.5,2.0,,,
8,1999,59,CAR,NFL,16,8,8,0,0.5,-1.1,3.0,-4.0,,,,,2.0,1.0,0.0,
9,2000,60,CAR,NFL,16,7,9,0,0.438,-1.1,-3.6,2.5,,,,,3.0,4.0,0.0,
10,2001,61,CAR,NFL,16,1,15,0,0.063,-8.9,-4.6,-4.4,,,,,5.0,3.0,2.0,
11,11 yrs,11 yrs,,,176,114,62,0,0.648,,,,15.0,10.0,5.0,0.667,1.9,8.0,2.0,
12,8 yrs,8 yrs,SFO,,128,98,30,0,0.766,,,,15.0,10.0,5.0,0.667,1.4,,,
13,3 yrs,3 yrs,CAR,,48,16,32,0,0.333,,,,0.0,0.0,0.0,,3.3,8.0,2.0,
