,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,2017,38,SFO,NFL,16,6,10,0,0.375,-2.9,-0.8,-2.1,,,,,4.0,6,5,
1,2018,39,SFO,NFL,16,4,12,0,0.25,-5.5,-2.5,-3.1,,,,,3.0,6,2,
2,2019,40,SFO,NFL,16,13,3,0,0.813,11.0,6.7,4.3,3.0,2.0,1.0,0.667,1.0,7,4,NFC Champions
3,2020,41,SFO,NFL,16,6,10,0,0.375,0.8,0.2,0.7,,,,,4.0,6,3,
4,2021,42,SFO,NFL,17,10,7,0,0.588,3.8,1.8,1.9,3.0,2.0,1.0,0.667,3.0,3,2,
5,2022,43,SFO,NFL,17,13,4,0,0.765,7.9,3.3,4.6,3.0,2.0,1.0,0.667,1.0,6,4,
6,2023,44,SFO,NFL,17,12,5,0,0.706,11.8,7.1,4.7,3.0,2.0,1.0,0.667,1.0,3,1,NFC Champions
7,2024,45,SFO,NFL,17,6,11,0,0.353,-1.2,0.9,-2.1,,,,,4.0,6,2,
8,2025,46,SFO,NFL,17,12,5,0,0.706,6.0,3.7,2.3,2.0,1.0,1.0,0.5,2.0,4,1,
9,9 yrs,9 yrs,,,149,82,67,0,0.55,,,,14.0,9.0,5.0,0.643,2.6,47,24,
