,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,1988,36,RAI,NFL,16,7,9,0,0.438,-3.6,-0.3,-3.3,,,,,3.0,,,
1,1989,37,RAI,NFL,4,1,3,0,0.25,1.8,0.0,1.9,,,,,3.0,,,
2,1995,43,DEN,NFL,16,8,8,0,0.5,3.1,3.3,-0.2,,,,,4.0,,,
3,1996,44,DEN,NFL,16,13,3,0,0.813,7.6,3.7,3.9,1.0,0.0,1.0,0.0,1.0,,,
4,1997,45,DEN,NFL,16,12,4,0,0.75,10.7,8.1,2.6,4.0,4.0,0.0,1.0,2.0,,,Super Bowl Champions
5,1998,46,DEN,NFL,16,14,2,0,0.875,8.9,9.5,-0.6,3.0,3.0,0.0,1.0,1.0,,,Super Bowl Champions
6,1999,47,DEN,NFL,16,6,10,0,0.375,3.4,1.0,2.4,,,,,5.0,4.0,0.0,
7,2000,48,DEN,NFL,16,11,5,0,0.688,5.0,7.8,-2.7,1.0,0.0,1.0,0.0,2.0,11.0,5.0,
8,2001,49,DEN,NFL,16,8,8,0,0.5,-0.5,0.5,-1.0,,,,,3.0,10.0,2.0,
9,2002,50,DEN,NFL,16,9,7,0,0.563,4.9,3.0,1.9,,,,,2.0,6.0,2.0,
10,2003,51,DEN,NFL,16,10,6,0,0.625,5.5,2.4,3.1,1.0,0.0,1.0,0.0,2.0,6.0,2.0,
11,2004,52,DEN,NFL,16,10,6,0,0.625,5.9,1.6,4.3,1.0,0.0,1.0,0.0,2.0,9.0,5.0,
12,2005,53,DEN,NFL,16,13,3,0,0.813,10.8,5.0,5.8,2.0,1.0,1.0,0.5,1.0,18.0,11.0,
13,2006,54,DEN,NFL,16,9,7,0,0.563,1.3,-0.8,2.1,,,,,3.0,8.0,4.0,
14,2007,55,DEN,NFL,16,7,9,0,0.438,-3.9,-0.2,-3.8,,,,,2.0,10.0,5.0,
15,2008,56,DEN,NFL,16,8,8,0,0.5,-5.8,0.7,-6.5,,,,,2.0,9.0,2.0,
16,2010,58,WAS,NFL,16,6,10,0,0.375,-3.8,-3.4,-0.5,,,,,4.0,7.0,2.0,
17,2011,59,WAS,NFL,16,5,11,0,0.313,-4.1,-4.3,0.2,,,,,4.0,6.0,2.0,
18,2012,60,WAS,NFL,16,10,6,0,0.625,3.4,4.6,-1.2,1.0,0.0,1.0,0.0,1.0,6.0,2.0,
19,2013,61,WAS,NFL,16,3,13,0,0.188,-9.3,-3.9,-5.4,,,,,4.0,6.0,3.0,
20,20 yrs,20 yrs,,,308,170,138,0,0.552,,,,14.0,8.0,6.0,0.571,2.6,116.0,47.0,
21,14 yrs,14 yrs,DEN,,224,138,86,0,0.616,,,,13.0,8.0,5.0,0.615,2.3,91.0,38.0,
22,4 yrs,4 yrs,WAS,,64,24,40,0,0.375,,,,1.0,0.0,1.0,0.0,3.3,25.0,9.0,
23,2 yrs,2 yrs,RAI,,20,8,12,0,0.4,,,,0.0,0.0,0.0,,3.0,,,
