,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1946,47,SFO,AAFC,14,9,5,0,0.643,7.4,1.3,6.0,,,,,2.0,
1,1947,48,SFO,AAFC,14,8,4,2,0.667,3.9,1.9,2.1,,,,,2.0,
2,1948,49,SFO,AAFC,14,12,2,0,0.857,15.4,12.1,3.4,,,,,2.0,
3,1949,50,SFO,AAFC,12,9,3,0,0.75,13.5,13.3,0.2,2.0,1.0,1.0,0.5,2.0,
4,1950,51,SFO,NFL,12,3,9,0,0.25,-9.5,-8.9,-0.6,,,,,5.0,
5,1951,52,SFO,NFL,12,7,4,1,0.636,4.3,-2.3,6.6,,,,,2.0,
6,1952,53,SFO,NFL,12,7,5,0,0.583,4.4,-0.1,4.5,,,,,3.0,
7,1953,54,SFO,NFL,12,9,3,0,0.75,10.7,9.0,1.7,,,,,2.0,
8,1954,55,SFO,NFL,12,7,4,1,0.636,6.0,4.5,1.6,,,,,3.0,
9,1958,59,PHI,NFL,12,2,9,1,0.182,-7.7,-3.3,-4.5,,,,,5.0,
10,1959,60,PHI,NFL,12,7,5,0,0.583,-2.6,0.4,-3.0,,,,,2.0,
11,1960,61,PHI,NFL,12,10,2,0,0.833,6.7,5.6,1.1,1.0,1.0,0.0,1.0,1.0,NFL Champions
12,12 yrs,12 yrs,,,150,90,55,5,0.621,,,,3.0,2.0,1.0,0.667,2.6,
13,9 yrs,9 yrs,SFO,,114,71,39,4,0.645,,,,2.0,1.0,1.0,0.5,2.6,
14,3 yrs,3 yrs,PHI,,36,19,16,1,0.543,,,,1.0,1.0,0.0,1.0,2.7,
