,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1962,32,RAM,NFL,6,0,5,1,0.0,-4.0,-4.6,0.6,,,,,7.0,
1,1963,33,RAM,NFL,14,5,9,0,0.357,-9.0,-6.0,-3.0,,,,,6.0,
2,1964,34,RAM,NFL,14,5,7,2,0.417,-0.9,0.2,-1.0,,,,,5.0,
3,1965,35,RAM,NFL,14,4,10,0,0.286,2.9,-1.1,4.0,,,,,7.0,
4,1971,41,SDG,NFL,4,2,2,0,0.5,-4.1,2.6,-6.6,,,,,3.0,
5,1972,42,SDG,NFL,14,4,9,1,0.321,-2.8,-0.2,-2.6,,,,,4.0,
6,1973,43,SDG,NFL,8,1,6,1,0.188,-12.0,-3.6,-8.4,,,,,4.0,
7,7 yrs,7 yrs,,,74,21,48,5,0.31,,,,0.0,0.0,0.0,,5.1,
8,4 yrs,4 yrs,RAM,,48,14,31,3,0.311,,,,0.0,0.0,0.0,,6.3,
9,3 yrs,3 yrs,SDG,,26,7,17,2,0.308,,,,0.0,0.0,0.0,,3.7,
