,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,2007,35,PIT,NFL,16,10,6,0,0.625,5.2,0.9,4.3,1.0,0.0,1.0,0.0,1.0,9,3,
1,2008,36,PIT,NFL,16,12,4,0,0.75,9.8,1.6,8.2,3.0,3.0,0.0,1.0,1.0,6,5,Super Bowl Champions
2,2009,37,PIT,NFL,16,9,7,0,0.563,1.7,1.0,0.7,,,,,3.0,4,2,
3,2010,38,PIT,NFL,16,12,4,0,0.75,10.2,2.5,7.7,3.0,2.0,1.0,0.667,1.0,7,3,AFC Champions
4,2011,39,PIT,NFL,16,12,4,0,0.75,5.3,-0.8,6.0,1.0,0.0,1.0,0.0,2.0,6,3,
5,2012,40,PIT,NFL,16,8,8,0,0.5,-0.7,-2.8,2.1,,,,,3.0,6,4,
6,2013,41,PIT,NFL,16,8,8,0,0.5,-2.0,-0.9,-1.0,,,,,2.0,6,4,
7,2014,42,PIT,NFL,16,11,5,0,0.688,2.2,4.4,-2.1,1.0,0.0,1.0,0.0,1.0,6,2,
8,2015,43,PIT,NFL,16,10,6,0,0.625,8.7,5.1,3.6,2.0,1.0,1.0,0.5,2.0,6,3,
9,2016,44,PIT,NFL,16,11,5,0,0.688,4.7,2.8,2.0,3.0,2.0,1.0,0.667,1.0,5,2,
10,2017,45,PIT,NFL,16,13,3,0,0.813,5.0,3.2,1.8,1.0,0.0,1.0,0.0,1.0,4,0,
11,2018,46,PIT,NFL,16,9,6,1,0.594,5.6,3.9,1.7,,,,,2.0,5,0,
12,2019,47,PIT,NFL,16,8,8,0,0.5,0.3,-4.3,4.6,,,,,2.0,8,3,
13,2020,48,PIT,NFL,16,12,4,0,0.75,4.7,0.3,4.4,1.0,0.0,1.0,0.0,1.0,4,2,
14,2021,49,PIT,NFL,17,9,7,1,0.559,-2.5,-2.6,0.1,1.0,0.0,1.0,0.0,2.0,2,0,
15,2022,50,PIT,NFL,17,9,8,0,0.529,-0.8,-3.0,2.3,,,,,3.0,2,0,
16,2023,51,PIT,NFL,17,10,7,0,0.588,0.7,-3.0,3.7,1.0,0.0,1.0,0.0,3.0,7,4,
17,2024,52,PIT,NFL,17,10,7,0,0.588,2.1,-0.7,2.8,1.0,0.0,1.0,0.0,2.0,3,1,
18,2025,53,PIT,NFL,17,10,7,0,0.588,0.1,-0.3,0.4,1.0,0.0,1.0,0.0,1.0,1,0,
19,19 yrs,19 yrs,,,309,193,114,2,0.628,,,,20.0,8.0,12.0,0.4,1.8,97,41,
