,,,,,,,,,Simple Rating System,Simple Rating System,Simple Rating System,Playoffs,Playoffs,Playoffs,Playoffs,,Challenges,Challenges,
Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G,W,L,W-L%,Rank,Num,Won,Notes
2011,48,MIA,NFL,3,2,1,0,.667,0.9,-2.2,3.2,,,,,3,0,0,
2015,52,NYJ,NFL,16,10,6,0,.625,1.5,-0.5,2.0,,,,,2,5,1,
2016,53,NYJ,NFL,16,5,11,0,.313,-8.5,-5.5,-3.0,,,,,4,8,5,
2017,54,NYJ,NFL,16,5,11,0,.313,-4.9,-2.9,-2.1,,,,,4,3,1,
2018,55,NYJ,NFL,16,4,12,0,.250,-7.8,-2.0,-5.9,,,,,4,2,2,
2022,59,TAM,NFL,17,8,9,0,.471,-2.3,-3.3,1.1,1,0,1,.000,1,3,2,
2023,60,TAM,NFL,17,9,8,0,.529,1.1,-1.6,2.7,2,1,1,.500,1,4,1,
2024,61,TAM,NFL,17,10,7,0,.588,6.4,6.0,0.4,1,0,1,.000,1,3,1,
2025,62,TAM,NFL,17,8,9,0,.471,-1.1,0.3,-1.3,,,,,2,1,0,
9 yrs,9 yrs,,,135,61,74,0,.452,,,,4,1,3,.250,2.4,29,13,
4 yrs,4 yrs,NYJ,,64,24,40,0,.375,,,,,,,,3.5,18,9,
4 yrs,4 yrs,TAM,,68,35,33,0,.515,,,,4,1,3,.250,1.3,11,4,
1 yr,1 yr,MIA,,3,2,1,0,.667,,,,0,0,0,,3.0,0,0,
