,,,,,,,,,Simple Rating System,Simple Rating System,Simple Rating System,Playoffs,Playoffs,Playoffs,Playoffs,,Challenges,Challenges,
Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G,W,L,W-L%,Rank,Num,Won,Notes
2015,39,MIA,NFL,12,5,7,0,.417,-6.8,-4.7,-2.2,,,,,4,3,3,Replaced Joe Philbin after Week 4
2021,45,DET,NFL,17,3,13,1,.206,-7.8,-3.5,-4.3,,,,,4,4,1,
2022,46,DET,NFL,17,9,8,0,.529,2.2,4.7,-2.4,,,,,2,4,2,
2023,47,DET,NFL,17,12,5,0,.706,4.3,6.0,-1.8,3,2,1,.667,1,4,0,
2024,48,DET,NFL,17,15,2,0,.882,13.8,10.6,3.2,1,0,1,0,1,5,3,
2025,49,DET,NFL,17,9,8,0,.529,3.9,5.2,-1.3,,,,,3,7,4,
6 yrs,6 yrs,,,97,53,43,1,.552,,,,4,2,2,.500,2.5,27,13,
5 yrs,5 yrs,DET,,85,48,36,1,.571,,,,4,2,2,.500,2.2,24,10,
1 yr,1 yr,MIA,,12,5,7,0,.417,,,,,,,,4,3,3,
