,,,,,,,,,Simple Rating System,Simple Rating System,Simple Rating System,Playoffs,Playoffs,Playoffs,Playoffs,,Challenges,Challenges,
Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G,W,L,W-L%,Rank,Num,Won,Notes
2011,48,SFO,NFL,16,13,3,0,.813,8.3,1.7,6.6,2,1,1,.500,1,10,4,
2012,49,SFO,NFL,16,11,4,1,.719,10.2,3.5,6.7,3,2,1,.667,1,11,5,NFC Champions
2013,50,SFO,NFL,16,12,4,0,.750,10.1,3.5,6.6,3,2,1,.667,2,8,2,
2014,51,SFO,NFL,16,8,8,0,.500,-1.0,-3.0,2.1,,,,,3,6,1,
2024,61,LAC,NFL,17,11,6,0,.647,5.3,0.6,4.7,1,0,1,.000,2,3,0,
2025,62,LAC,NFL,17,11,6,0,.647,0.8,-1.0,1.8,1,0,1,.000,2,4,3,
6 yrs,6 yrs,,,98,66,31,1,.679,,,,10,5,5,.500,1.8,42,15,
4 yrs,4 yrs,SFO,,64,44,19,1,.695,,,,8,5,3,.625,1.8,35,12,
2 yrs,2 yrs,LAC,,34,22,12,0,.647,,,,2,0,2,.000,2.0,7,3,
