,,,,,,,,,Simple Rating System,Simple Rating System,Simple Rating System,Playoffs,Playoffs,Playoffs,Playoffs,,Challenges,Challenges,
Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G,W,L,W-L%,Rank,Num,Won,Notes
2008,46,BAL,NFL,16,11,5,0,.688,9.8,4.2,5.6,3,2,1,.667,2,10,5,
2009,47,BAL,NFL,16,9,7,0,.563,7.5,2.6,4.9,2,1,1,.500,2,13,7,
2010,48,BAL,NFL,16,12,4,0,.750,6.4,0.9,5.5,2,1,1,.500,2,9,1,
2011,49,BAL,NFL,16,12,4,0,.750,6.1,2.6,3.5,2,1,1,.500,1,12,7,
2012,50,BAL,NFL,16,10,6,0,.625,2.9,1.9,1.0,4,4,0,1,1,7,3,Super Bowl Champions
2013,51,BAL,NFL,16,8,8,0,.500,-3.5,-5.0,1.4,,,,,3,12,7,
2014,52,BAL,NFL,16,10,6,0,.625,4.6,1.8,2.8,2,1,1,.500,3,9,2,
2015,53,BAL,NFL,16,5,11,0,.313,-1.9,-0.7,-1.2,,,,,3,8,3,
2016,54,BAL,NFL,16,8,8,0,.500,1.5,-1.1,2.6,,,,,2,5,2,
2017,55,BAL,NFL,16,9,7,0,.563,3.4,2.2,1.2,,,,,2,7,5,
2018,56,BAL,NFL,16,10,6,0,.625,7.0,0.6,6.4,1,0,1,0,1,7,4,
2019,57,BAL,NFL,16,14,2,0,.875,15.6,11.0,4.7,1,0,1,0,1,6,0,
2020,58,BAL,NFL,16,11,5,0,.688,8.3,3.9,4.3,2,1,1,.500,2,6,3,
2021,59,BAL,NFL,17,8,9,0,.471,-0.3,-0.3,0.0,,,,,4,6,3,
2022,60,BAL,NFL,17,10,7,0,.588,3.1,-0.2,3.4,1,0,1,0,2,7,2,
2023,61,BAL,NFL,17,13,4,0,.765,13.2,6.7,6.5,2,1,1,.500,1,3,0,
2024,62,BAL,NFL,17,12,5,0,.706,9.9,8.0,1.9,2,1,1,.500,1,4,1,
2025,63,BAL,NFL,17,8,9,0,.471,1.1,1.8,-0.7,,,,,2,4,3,
18 yrs,18 yrs,,,293,180,113,0,.614,,,,24,13,11,.542,1.9,135,58,
