,,,,,,,,,Simple Rating System,Simple Rating System,Simple Rating System,Playoffs,Playoffs,Playoffs,Playoffs,,Challenges,Challenges,
Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G,W,L,W-L%,Rank,Num,Won,Notes
2017,43,BUF,NFL,16,9,7,0,.563,-4.0,-3.0,-1.0,1,0,1,0,2,4,1,
2018,44,BUF,NFL,16,6,10,0,.375,-6.9,-6.3,-0.6,,,,,3,6,0,
2019,45,BUF,NFL,16,10,6,0,.625,2.2,-3.5,5.7,1,0,1,0,2,5,2,
2020,46,BUF,NFL,16,13,3,0,.813,7.7,7.1,0.6,3,2,1,.667,1,5,2,
2021,47,BUF,NFL,17,11,6,0,.647,9.8,5.0,4.8,2,1,1,.500,1,3,1,
2022,48,BUF,NFL,16,13,3,0,.813,10.9,7.1,3.8,2,1,1,.500,1,4,1,
2023,49,BUF,NFL,17,11,6,0,.647,6.5,4.1,2.3,2,1,1,.500,1,6,3,
2024,50,BUF,NFL,17,13,4,0,.765,8.1,7.8,0.3,3,2,1,.667,1,5,1,
2025,51,BUF,NFL,17,12,5,0,.706,4.5,4.9,-0.4,2,1,1,.500,2,5,4,
9 yrs,9 yrs,,,148,98,50,0,.662,,,,16,8,8,.500,1.6,43,15,
