,,,,,,,,,Simple Rating System,Simple Rating System,Simple Rating System,Playoffs,Playoffs,Playoffs,Playoffs,,Challenges,Challenges,
Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G,W,L,W-L%,Rank,Num,Won,Notes
2017,31,LAR,NFL,16,11,5,0,.688,9.2,8.2,1.0,1,0,1,.000,1,6,3,
2018,32,LAR,NFL,16,13,3,0,.813,8.5,9.5,-1.1,3,2,1,.667,1,8,3,NFC Champions
2019,33,LAR,NFL,16,9,7,0,.563,3.9,2.2,1.7,,,,,3,5,1,
2020,34,LAR,NFL,16,10,6,0,.625,5.4,-0.8,6.2,2,1,1,.500,2,6,2,
2021,35,LAR,NFL,17,12,5,0,.706,5.3,4.2,1.1,4,4,0,1.000,1,5,3,Super Bowl Champions
2022,36,LAR,NFL,17,5,12,0,.294,-4.0,-4.1,0.0,,,,,3,1,1,
2023,37,LAR,NFL,17,10,7,0,.588,3.0,2.0,1.0,1,0,1,.000,2,4,3,
2024,38,LAR,NFL,17,10,7,0,.588,-0.1,-0.6,0.6,2,1,1,.500,1,3,2,
2025,39,LAR,NFL,17,12,5,0,.706,12.5,8.7,3.9,3,2,1,.667,2,4,1,
9 yrs,9 yrs,,,149,92,57,0,.617,,,,16,10,6,.625,1.8,42,19,
