,,,,,,,,,Simple Rating System,Simple Rating System,Simple Rating System,Playoffs,Playoffs,Playoffs,Playoffs,,Challenges,Challenges,
Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G,W,L,W-L%,Rank,Num,Won,Notes
2009,33,TAM,NFL,16,3,13,0,.188,-5.6,-4.6,-1.1,,,,,4,9,3,
2010,34,TAM,NFL,16,10,6,0,.625,-0.6,-1.0,0.4,,,,,3,7,3,
2011,35,TAM,NFL,16,4,12,0,.250,-10.6,-4.0,-6.6,,,,,4,8,4,
2020,44,ATL,NFL,11,4,7,0,.364,0.7,-0.1,0.8,,,,,4,4,1,
2024,48,ATL,NFL,17,8,9,0,.471,-2.2,0.0,-2.2,,,,,2,5,1,
2025,49,ATL,NFL,17,8,9,0,.471,-2.8,-2.0,-0.7,,,,,3,6,4,
6 yrs,6 yrs,,,93,37,56,0,.398,,,,0,0,0,,3.3,39,16,
3 yrs,3 yrs,ATL,,45,20,25,0,.444,,,,,,,,3.0,15,6,
3 yrs,3 yrs,TAM,,48,17,31,0,.354,,,,0,0,0,,3.7,24,10,
