,,,,,,,,,Simple Rating System,Simple Rating System,Simple Rating System,Playoffs,Playoffs,Playoffs,Playoffs,,Challenges,Challenges,
Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G,W,L,W-L%,Rank,Num,Won,Notes
2006,43,NOR,NFL,16,10,6,0,.625,4.0,4.9,-0.9,2,1,1,.500,1,12,5,
2007,44,NOR,NFL,16,7,9,0,.438,-2.5,1.9,-4.5,,,,,3,11,2,
2008,45,NOR,NFL,16,8,8,0,.500,4.0,6.8,-2.8,,,,,4,15,5,
2009,46,NOR,NFL,16,13,3,0,.813,10.8,11.2,-0.5,3,3,0,1.000,1,11,5,Super Bowl Champions
2010,47,NOR,NFL,16,11,5,0,.688,2.3,1.5,0.8,1,0,1,.000,2,8,6,
2011,48,NOR,NFL,16,13,3,0,.813,11.4,10.6,0.8,2,1,1,.500,1,7,4,
2013,50,NOR,NFL,16,11,5,0,.688,8.8,3.8,5.0,2,1,1,.500,2,5,2,
2014,51,NOR,NFL,16,7,9,0,.438,-2.9,1.9,-4.8,,,,,2,6,4,
2015,52,NOR,NFL,16,7,9,0,.438,-6.6,1.1,-7.6,,,,,3,6,3,
2016,53,NOR,NFL,16,7,9,0,.438,1.5,6.8,-5.3,,,,,3,9,4,
2017,54,NOR,NFL,16,11,5,0,.688,9.2,7.0,2.2,2,1,1,.500,1,5,1,
2018,55,NOR,NFL,16,13,3,0,.813,10.1,7.9,2.2,2,1,1,.500,1,7,3,
2019,56,NOR,NFL,16,13,3,0,.813,7.4,5.0,2.3,1,0,1,.000,1,9,7,
2020,57,NOR,NFL,16,12,4,0,.750,9.6,5.1,4.5,2,1,1,.500,1,7,3,
2021,58,NOR,NFL,17,9,8,0,.529,2.0,-1.5,3.6,,,,,2,3,0,
2023,60,DEN,NFL,17,8,9,0,.471,-3.8,-0.8,-3.0,,,,,2,3,2,
2024,61,DEN,NFL,17,10,7,0,.588,6.4,2.1,4.3,1,0,1,.000,3,9,2,
2025,62,DEN,NFL,17,14,3,0,.824,3.5,-0.1,3.5,2,1,1,.500,1,4,2,
18 yrs,18 yrs,,,292,184,108,0,.630,,,,20,10,10,.500,1.9,137,60,
15 yrs,15 yrs,NOR,,241,152,89,0,.631,,,,17,9,8,.529,1.9,121,54,
3 yrs,3 yrs,DEN,,51,32,19,0,.627,,,,3,1,2,.333,2.0,16,6,
