,,,,,,,,,Simple Rating System,Simple Rating System,Simple Rating System,Playoffs,Playoffs,Playoffs,Playoffs,,Challenges,Challenges,
Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G,W,L,W-L%,Rank,Num,Won,Notes
2015,45,ATL,NFL,16,8,8,0,.500,-3.8,-4.0,0.3,,,,,2,4,2,
2016,46,ATL,NFL,16,11,5,0,.688,8.5,10.5,-2.0,3,2,1,.667,1,8,6,NFC Champions
2017,47,ATL,NFL,16,10,6,0,.625,4.3,1.1,3.2,2,1,1,.500,3,4,2,
2018,48,ATL,NFL,16,7,9,0,.438,-0.1,2.5,-2.6,,,,,2,1,0,
2019,49,ATL,NFL,16,7,9,0,.438,-0.1,0.3,-0.4,,,,,2,5,0,
2020,50,ATL,NFL,5,0,5,0,.000,0.7,-0.1,0.8,,,,,4,1,0,Fired after week 5
2024,54,WAS,NFL,17,12,5,0,.706,3.7,4.9,-1.2,3,2,1,.667,2,5,2,
2025,55,WAS,NFL,17,5,12,0,.294,-5.7,-2.1,-3.6,,,,,3,5,2,
8 yrs,8 yrs,,,119,60,59,0,.504,,,,8,5,3,.625,2.4,33,14,
6 yrs,6 yrs,ATL,,85,43,42,0,.506,,,,5,3,2,.600,2.3,23,10,
2 yrs,2 yrs,WAS,,34,17,17,0,.500,,,,3,2,1,.667,2.5,10,4,
