,,,,,,,,,Simple Rating System,Simple Rating System,Simple Rating System,Playoffs,Playoffs,Playoffs,Playoffs,,Challenges,Challenges,
Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G,W,L,W-L%,Rank,Num,Won,Notes
1999,41,PHI,NFL,16,5,11,0,.313,-4.2,-3.3,-0.9,,,,,5,1,0,
2000,42,PHI,NFL,16,11,5,0,.688,3.1,1.0,2.1,2,1,1,.500,2,2,0,
2001,43,PHI,NFL,16,11,5,0,.688,7.7,0.9,6.8,3,2,1,.667,1,3,2,
2002,44,PHI,NFL,16,12,4,0,.750,8.3,4.5,3.8,2,1,1,.500,1,3,2,
2003,45,PHI,NFL,16,12,4,0,.750,4.4,2.9,1.5,2,1,1,.500,1,8,3,
2004,46,PHI,NFL,16,13,3,0,.813,5.6,2.0,3.5,3,2,1,.667,1,10,7,NFC Champions
2005,47,PHI,NFL,16,6,10,0,.375,-2.3,-0.7,-1.7,,,,,4,8,1,
2006,48,PHI,NFL,16,10,6,0,.625,3.4,3.2,0.2,2,1,1,.500,1,4,1,
2007,49,PHI,NFL,16,8,8,0,.500,5.3,0.1,5.1,,,,,4,4,1,
2008,50,PHI,NFL,16,9,6,1,.594,7.8,4.7,3.2,3,2,1,.667,2,5,0,
2009,51,PHI,NFL,16,11,5,0,.688,6.0,5.8,0.2,1,0,1,.000,2,8,4,
2010,52,PHI,NFL,16,10,6,0,.625,4.2,5.4,-1.2,1,0,1,.000,1,6,3,
2011,53,PHI,NFL,16,8,8,0,.500,4.7,3.1,1.7,,,,,2,14,10,
2012,54,PHI,NFL,16,4,12,0,.250,-8.9,-5.3,-3.6,,,,,4,6,3,
2013,55,KAN,NFL,16,11,5,0,.688,6.1,1.7,4.3,1,0,1,.000,2,8,7,
2014,56,KAN,NFL,16,9,7,0,.563,5.7,0.0,5.7,,,,,2,6,2,
2015,57,KAN,NFL,16,11,5,0,.688,9.0,3.7,5.3,2,1,1,.500,2,6,3,
2016,58,KAN,NFL,16,12,4,0,.750,5.6,1.2,4.4,1,0,1,.000,1,3,1,
2017,59,KAN,NFL,16,10,6,0,.625,3.4,3.8,-0.3,1,0,1,.000,1,6,2,
2018,60,KAN,NFL,16,12,4,0,.750,8.9,12.6,-3.8,2,1,1,.500,1,6,3,
2019,61,KAN,NFL,16,12,4,0,.750,9.1,6.2,2.9,3,3,0,1.000,1,8,4,Super Bowl Champions
2020,62,KAN,NFL,16,14,2,0,.875,6.8,4.5,2.3,3,2,1,.667,1,1,1,AFC Champions
2021,63,KAN,NFL,17,12,5,0,.706,7.4,5.4,2.0,3,2,1,.667,1,5,5,
2022,64,KAN,NFL,17,14,3,0,.824,6.2,6.8,-0.6,3,3,0,1.000,1,7,3,Super Bowl Champions
2023,65,KAN,NFL,17,11,6,0,.647,3.7,-0.6,4.4,4,4,0,1.000,1,5,4,Super Bowl Champions
2024,66,KAN,NFL,17,15,2,0,.882,4.2,-0.2,4.4,3,2,1,.667,1,4,1,AFC Champions
2025,67,KAN,NFL,17,6,11,0,.353,1.9,-1.9,3.8,,,,,3,1,1,
27 yrs,27 yrs,,,437,279,157,1,.640,,,,45,28,17,.622,1.8,148,74,
14 yrs,14 yrs,PHI,,224,130,93,1,.583,,,,19,10,9,.526,2.2,82,37,
13 yrs,13 yrs,KAN,,213,149,64,0,.700,,,,26,18,8,.692,1.4,66,37,
