,,,,,,,,,Simple Rating System,Simple Rating System,Simple Rating System,Playoffs,Playoffs,Playoffs,Playoffs,,Challenges,Challenges,
Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G,W,L,W-L%,Rank,Num,Won,Notes
2017,38,SFO,NFL,16,6,10,0,.375,-2.9,-0.8,-2.1,,,,,4,6,5,
2018,39,SFO,NFL,16,4,12,0,.250,-5.5,-2.5,-3.1,,,,,3,6,2,
2019,40,SFO,NFL,16,13,3,0,.813,11.0,6.7,4.3,3,2,1,.667,1,7,4,NFC Champions
2020,41,SFO,NFL,16,6,10,0,.375,0.8,0.2,0.7,,,,,4,6,3,
2021,42,SFO,NFL,17,10,7,0,.588,3.8,1.8,1.9,3,2,1,.667,3,3,2,
2022,43,SFO,NFL,17,13,4,0,.765,7.9,3.3,4.6,3,2,1,.667,1,6,4,
2023,44,SFO,NFL,17,12,5,0,.706,11.8,7.1,4.7,3,2,1,.667,1,3,1,NFC Champions
2024,45,SFO,NFL,17,6,11,0,.353,-1.2,0.9,-2.1,,,,,4,6,2,
2025,46,SFO,NFL,17,12,5,0,.706,6.0,3.7,2.3,2,1,1,.500,2,4,1,
9 yrs,9 yrs,,,149,82,67,0,.550,,,,14,9,5,.643,2.6,47,24,
