,Abbrev,Team,W-L%
0,BUF,Buffalo Bills,.750
1,CLT,Indianapolis Colts,.563
2,NWE,New England Patriots,.563
3,NYJ,New York Jets,.531
4,MIA,Miami Dolphins,.375
5,CIN,Cincinnati Bengals,.750
6,CLE,Cleveland Browns,.625
7,OTI,Tennessee Titans,.625
8,PIT,Pittsburgh Steelers,.313
9,SEA,Seattle Seahawks,.563
10,DEN,Denver Broncos,.500
11,RAI,Las Vegas Raiders,.438
12,SDG,Los Angeles Chargers,.375
13,KAN,Kansas City Chiefs,.281
14,PHI,Philadelphia Eagles,.625
15,NYG,New York Giants,.625
16,WAS,Washington Commanders,.438
17,CRD,Arizona Cardinals,.438
18,DAL,Dallas Cowboys,.188
19,CHI,Chicago Bears,.750
20,MIN,Minnesota Vikings,.688
21,TAM,Tampa Bay Buccaneers,.313
22,DET,Detroit Lions,.250
23,GNB,Green Bay Packers,.250
24,SFO,San Francisco 49ers,.625
25,RAM,Los Angeles Rams,.625
26,NOR,New Orleans Saints,.625
27,ATL,Atlanta Falcons,.313
