,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,2006,43,GNB,NFL,16,8,8,0,0.5,-4.4,-2.3,-2.1,,,,,2.0,4,2,
1,2007,44,GNB,NFL,16,13,3,0,0.813,9.0,5.7,3.3,2.0,1.0,1.0,0.5,1.0,11,5,
2,2008,45,GNB,NFL,16,6,10,0,0.375,2.9,4.1,-1.2,,,,,3.0,7,4,
3,2009,46,GNB,NFL,16,11,5,0,0.688,7.4,6.3,1.1,1.0,0.0,1.0,0.0,2.0,14,5,
4,2010,47,GNB,NFL,16,10,6,0,0.625,10.9,3.1,7.9,4.0,4.0,0.0,1.0,2.0,8,4,Super Bowl Champions
5,2011,48,GNB,NFL,16,15,1,0,0.938,11.4,11.5,-0.1,1.0,0.0,1.0,0.0,1.0,11,6,
6,2012,49,GNB,NFL,16,11,5,0,0.688,7.3,4.9,2.4,2.0,1.0,1.0,0.5,1.0,9,6,
7,2013,50,GNB,NFL,16,8,7,1,0.531,-3.1,0.5,-3.6,1.0,0.0,1.0,0.0,1.0,5,2,
8,2014,51,GNB,NFL,16,12,4,0,0.75,8.3,7.9,0.4,2.0,1.0,1.0,0.5,1.0,6,1,
9,2015,52,GNB,NFL,16,10,6,0,0.625,5.3,2.0,3.3,2.0,1.0,1.0,0.5,2.0,8,5,
10,2016,53,GNB,NFL,16,10,6,0,0.625,2.8,4.9,-2.0,3.0,2.0,1.0,0.667,1.0,5,3,
11,2017,54,GNB,NFL,16,7,9,0,0.438,-1.9,-0.3,-1.6,,,,,3.0,4,3,
12,2018,55,GNB,NFL,12,4,7,1,0.375,-2.7,0.0,-2.7,,,,,3.0,1,1,Fired after Week 13
13,2020,57,DAL,NFL,16,6,10,0,0.375,-5.1,1.0,-6.1,,,,,3.0,2,1,
14,2021,58,DAL,NFL,17,12,5,0,0.706,9.9,8.2,1.7,1.0,0.0,1.0,0.0,1.0,5,2,
15,2022,59,DAL,NFL,17,12,5,0,0.706,6.5,5.3,1.3,2.0,1.0,1.0,0.5,2.0,2,0,
16,2023,60,DAL,NFL,17,12,5,0,0.706,9.2,6.5,2.7,1.0,0.0,1.0,0.0,1.0,1,1,
17,2024,61,DAL,NFL,17,7,10,0,0.412,-6.3,-2.6,-3.7,,,,,3.0,5,1,
18,18 yrs,18 yrs,,,288,174,112,2,0.608,,,,22.0,11.0,11.0,0.5,1.8,108,52,
19,13 yrs,13 yrs,GNB,,204,125,77,2,0.618,,,,18.0,10.0,8.0,0.556,1.8,93,47,
20,5 yrs,5 yrs,DAL,,84,49,35,0,0.583,,,,4.0,1.0,3.0,0.25,2.0,15,5,
