,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,2016,48,PHI,NFL,16,7,9,0,0.438,3.8,1.3,2.5,,,,,4.0,10,6,
1,2017,49,PHI,NFL,16,13,3,0,0.813,9.4,7.0,2.5,3.0,3.0,0.0,1.0,1.0,7,3,Super Bowl Champions
2,2018,50,PHI,NFL,16,9,7,0,0.563,1.7,0.0,1.8,2.0,1.0,1.0,0.5,2.0,6,3,
3,2019,51,PHI,NFL,16,9,7,0,0.563,0.3,0.7,-0.4,1.0,0.0,1.0,0.0,1.0,6,2,
4,2020,52,PHI,NFL,16,4,11,1,0.281,-4.4,-2.8,-1.6,,,,,4.0,4,2,
5,2022,54,JAX,NFL,17,9,8,0,0.529,1.8,1.6,0.2,2.0,1.0,1.0,0.5,1.0,4,1,
6,2023,55,JAX,NFL,17,9,8,0,0.529,1.4,1.3,0.1,,,,,2.0,2,1,
7,2024,56,JAX,NFL,17,4,13,0,0.235,-7.5,-4.2,-3.4,,,,,3.0,3,2,
8,8 yrs,8 yrs,,,131,64,66,1,0.492,,,,8.0,5.0,3.0,0.625,2.3,42,20,
9,5 yrs,5 yrs,PHI,,80,42,37,1,0.531,,,,6.0,4.0,2.0,0.667,2.4,33,16,
10,3 yrs,3 yrs,JAX,,51,22,29,0,0.431,,,,2.0,1.0,1.0,0.5,2.0,9,4,
