,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,2011,48,MIA,NFL,3,2,1,0,0.667,0.9,-2.2,3.2,,,,,3.0,0,0,
1,2015,52,NYJ,NFL,16,10,6,0,0.625,1.5,-0.5,2.0,,,,,2.0,5,1,
2,2016,53,NYJ,NFL,16,5,11,0,0.313,-8.5,-5.5,-3.0,,,,,4.0,8,5,
3,2017,54,NYJ,NFL,16,5,11,0,0.313,-4.9,-2.9,-2.1,,,,,4.0,3,1,
4,2018,55,NYJ,NFL,16,4,12,0,0.25,-7.8,-2.0,-5.9,,,,,4.0,2,2,
5,2022,59,TAM,NFL,17,8,9,0,0.471,-2.3,-3.3,1.1,1.0,0.0,1.0,0.0,1.0,3,2,
6,2023,60,TAM,NFL,17,9,8,0,0.529,1.1,-1.6,2.7,2.0,1.0,1.0,0.5,1.0,4,1,
7,2024,61,TAM,NFL,17,10,7,0,0.588,6.4,6.0,0.4,1.0,0.0,1.0,0.0,1.0,3,1,
8,8 yrs,8 yrs,,,118,53,65,0,0.449,,,,4.0,1.0,3.0,0.25,2.5,28,13,
9,4 yrs,4 yrs,NYJ,,64,24,40,0,0.375,,,,,,,,3.5,18,9,
10,3 yrs,3 yrs,TAM,,51,27,24,0,0.529,,,,4.0,1.0,3.0,0.25,1.0,10,4,
11,1 yr,1 yr,MIA,,3,2,1,0,0.667,,,,0.0,0.0,0.0,,3.0,0,0,
