,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1931,37,PRT,NFL,14,11,3,0,0.786,4.1,1.8,2.3,,,,,2.0,
1,1932,38,PRT,NFL,12,6,2,4,0.75,4.7,1.8,2.8,,,,,3.0,
2,1933,39,PRT,NFL,11,6,5,0,0.545,5.1,2.9,2.2,,,,,2.0,
3,1934,40,DET,NFL,13,10,3,0,0.769,12.2,6.6,5.6,,,,,2.0,
4,1935,41,DET,NFL,12,7,3,2,0.7,7.8,6.7,1.1,1.0,1.0,0.0,1.0,1.0,NFL Champions
5,1936,42,DET,NFL,12,8,4,0,0.667,11.0,7.8,3.2,,,,,3.0,
6,1937,43,BKN,NFL,11,3,7,1,0.3,-9.3,-5.6,-3.7,,,,,4.0,
7,1938,44,BKN,NFL,11,4,4,3,0.5,-2.5,-1.5,-1.0,,,,,3.0,
8,1939,45,BKN,NFL,11,4,6,1,0.4,-10.4,-4.7,-5.7,,,,,3.0,
9,1940,46,DET,NFL,11,5,5,1,0.5,-0.8,-3.6,2.8,,,,,3.0,
10,10 yrs,10 yrs,,,118,64,42,12,0.604,,,,1.0,1.0,0.0,1.0,2.6,
11,7 yrs,7 yrs,DET-PRT,,85,53,25,7,0.679,,,,1.0,1.0,0.0,1.0,2.3,
12,3 yrs,3 yrs,BKN,,33,11,17,5,0.393,,,,0.0,0.0,0.0,,3.3,
