,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1973,49,STL,NFL,14,4,9,1,0.321,-3.3,1.8,-5.1,,,,,4.0,
1,1974,50,STL,NFL,14,10,4,0,0.714,5.8,2.8,3.0,1.0,0.0,1.0,0.0,1.0,
2,1975,51,STL,NFL,14,11,3,0,0.786,3.5,3.4,0.1,1.0,0.0,1.0,0.0,1.0,
3,1976,52,STL,NFL,14,10,4,0,0.714,2.6,3.5,-1.0,,,,,3.0,
4,1977,53,STL,NFL,14,7,7,0,0.5,-1.4,2.6,-4.0,,,,,3.0,
5,1978,54,SDG,NFL,12,8,4,0,0.667,3.6,4.6,-0.9,,,,,4.0,
6,1979,55,SDG,NFL,16,12,4,0,0.75,11.8,6.0,5.7,1.0,0.0,1.0,0.0,1.0,
7,1980,56,SDG,NFL,16,11,5,0,0.688,6.0,6.5,-0.4,2.0,1.0,1.0,0.5,1.0,
8,1981,57,SDG,NFL,16,10,6,0,0.625,4.4,9.2,-4.7,2.0,1.0,1.0,0.5,1.0,
9,1982,58,SDG,NFL,9,6,3,0,0.667,5.3,10.6,-5.3,2.0,1.0,1.0,0.5,2.0,
10,1983,59,SDG,NFL,16,6,10,0,0.375,-4.6,1.1,-5.7,,,,,4.0,
11,1984,60,SDG,NFL,16,7,9,0,0.438,0.8,4.8,-4.0,,,,,5.0,
12,1985,61,SDG,NFL,16,8,8,0,0.5,1.1,8.3,-7.2,,,,,4.0,
13,1986,62,SDG,NFL,8,1,7,0,0.125,-1.9,1.2,-3.1,,,,,5.0,
14,14 yrs,14 yrs,,,195,111,83,1,0.572,,,,9.0,3.0,6.0,0.333,2.8,
15,9 yrs,9 yrs,SDG,,125,69,56,0,0.552,,,,7.0,3.0,4.0,0.429,3.0,
16,5 yrs,5 yrs,STL,,70,42,27,1,0.607,,,,2.0,0.0,2.0,0.0,2.4,
