,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,2005,58,CLE,NFL,16,6,10,0,0.375,-4.2,-6.0,1.7,,,,,4.0,8,1,
1,2006,59,CLE,NFL,16,4,12,0,0.25,-5.8,-4.5,-1.3,,,,,4.0,7,0,
2,2007,60,CLE,NFL,16,10,6,0,0.625,-1.1,2.2,-3.3,,,,,2.0,8,3,
3,2008,61,CLE,NFL,16,4,12,0,0.25,-4.6,-5.2,0.6,,,,,4.0,2,1,
4,2011,64,KAN,NFL,3,2,1,0,0.667,-8.1,-10.2,2.1,,,,,4.0,1,0,
5,2012,65,KAN,NFL,16,2,14,0,0.125,-14.0,-10.3,-3.7,,,,,4.0,4,3,
6,2020,73,HOU,NFL,12,4,8,0,0.333,-5.5,-1.4,-4.1,,,,,3.0,4,3,
7,7 yrs,7 yrs,,,95,32,63,0,0.337,,,,0.0,0.0,0.0,,3.6,34,11,
8,4 yrs,4 yrs,CLE,,64,24,40,0,0.375,,,,0.0,0.0,0.0,,3.5,25,5,
9,2 yrs,2 yrs,KAN,,19,4,15,0,0.211,,,,0.0,0.0,0.0,,4.0,5,3,
10,1 yr,1 yr,HOU,,12,4,8,0,0.333,,,,,,,,3.0,4,3,
