,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1954,47,BAL,NFL,12,3,9,0,0.25,-8.3,-10.4,2.1,,,,,6.0,
1,1955,48,BAL,NFL,12,5,6,1,0.455,-4.6,-4.7,0.2,,,,,4.0,
2,1956,49,BAL,NFL,12,5,7,0,0.417,-3.0,2.0,-5.0,,,,,4.0,
3,1957,50,BAL,NFL,12,7,5,0,0.583,5.3,5.1,0.1,,,,,3.0,
4,1958,51,BAL,NFL,12,9,3,0,0.75,14.1,9.0,5.1,1.0,1.0,0.0,1.0,1.0,NFL Champions
5,1959,52,BAL,NFL,12,9,3,0,0.75,10.0,10.6,-0.6,1.0,1.0,0.0,1.0,1.0,NFL Champions
6,1960,53,BAL,NFL,12,6,6,0,0.5,2.1,2.0,0.1,,,,,4.0,
7,1961,54,BAL,NFL,14,8,6,0,0.571,1.1,0.9,0.3,,,,,3.0,
8,1962,55,BAL,NFL,14,7,7,0,0.5,3.6,1.2,2.4,,,,,4.0,
9,1963,56,NYJ,AFL,14,5,8,1,0.385,-9.4,-4.7,-4.7,,,,,4.0,
10,1964,57,NYJ,AFL,14,5,8,1,0.385,-2.3,-3.6,1.3,,,,,3.0,
11,1965,58,NYJ,AFL,14,5,8,1,0.385,-1.1,-1.1,0.0,,,,,2.0,
12,1966,59,NYJ,AFL,14,6,6,2,0.5,0.7,0.7,0.0,,,,,3.0,
13,1967,60,NYJ,AFL,14,8,5,1,0.615,2.4,3.6,-1.2,,,,,2.0,
14,1968,61,NYJ,AFL,14,11,3,0,0.786,7.9,7.0,0.8,2.0,2.0,0.0,1.0,1.0,Super Bowl Champions
15,1969,62,NYJ,AFL,14,10,4,0,0.714,4.0,3.2,0.8,1.0,0.0,1.0,0.0,1.0,
16,1970,63,NYJ,NFL,14,4,10,0,0.286,-4.9,-2.2,-2.7,,,,,3.0,
17,1971,64,NYJ,NFL,14,6,8,0,0.429,-5.4,-3.7,-1.6,,,,,4.0,
18,1972,65,NYJ,NFL,14,7,7,0,0.5,0.5,4.7,-4.2,,,,,2.0,
19,1973,66,NYJ,NFL,14,4,10,0,0.286,-3.4,-1.8,-1.6,,,,,4.0,
20,20 yrs,20 yrs,,,266,130,129,7,0.502,,,,5.0,4.0,1.0,0.8,3.0,
21,11 yrs,11 yrs,NYJ,,154,71,77,6,0.48,,,,3.0,2.0,1.0,0.667,2.6,
22,9 yrs,9 yrs,BAL,,112,59,52,1,0.532,,,,2.0,2.0,0.0,1.0,3.3,
