,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,2004,43,BUF,NFL,16,9,7,0,0.563,8.1,4.6,3.5,,,,,3.0,8,4,
1,2005,44,BUF,NFL,16,5,11,0,0.313,-5.8,-4.0,-1.8,,,,,3.0,10,3,
2,2012,51,JAX,NFL,16,2,14,0,0.125,-13.0,-8.1,-4.9,,,,,4.0,2,1,
3,2015,54,TEN,NFL,9,2,7,0,0.222,-10.5,-5.9,-4.6,,,,,4.0,2,1,Replaced Ken Whisenhunt after Week 8
4,2016,55,TEN,NFL,16,9,7,0,0.563,-1.0,0.7,-1.7,,,,,2.0,7,1,
5,2017,56,TEN,NFL,16,9,7,0,0.563,-3.5,-2.0,-1.5,2.0,1.0,1.0,0.5,2.0,7,4,
6,6 yrs,6 yrs,,,89,36,53,0,0.404,,,,2.0,1.0,1.0,0.5,3.0,36,14,
7,3 yrs,3 yrs,TEN,,41,20,21,0,0.488,,,,2.0,1.0,1.0,0.5,2.7,16,6,
8,2 yrs,2 yrs,BUF,,32,14,18,0,0.438,,,,0.0,0.0,0.0,,3.0,18,7,
9,1 yr,1 yr,JAX,,16,2,14,0,0.125,,,,0.0,0.0,0.0,,4.0,2,1,
