,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1971,51,RAM,NFL,14,8,5,1,0.615,6.6,4.2,2.4,,,,,2.0,
1,1972,52,RAM,NFL,14,6,7,1,0.464,-0.5,0.1,-0.6,,,,,3.0,
2,1974,54,SDG,NFL,14,5,9,0,0.357,-4.8,-3.5,-1.3,,,,,4.0,
3,1975,55,SDG,NFL,14,2,12,0,0.143,-9.4,-6.0,-3.4,,,,,4.0,
4,1976,56,SDG,NFL,14,6,8,0,0.429,-1.2,-1.7,0.5,,,,,3.0,
5,1977,57,SDG,NFL,14,7,7,0,0.5,3.7,-1.4,5.2,,,,,3.0,
6,1978,58,SDG,NFL,4,1,3,0,0.25,3.6,4.6,-0.9,,,,,4.0,
7,7 yrs,7 yrs,,,88,35,51,2,0.408,,,,0.0,0.0,0.0,,3.3,
8,5 yrs,5 yrs,SDG,,60,21,39,0,0.35,,,,0.0,0.0,0.0,,3.6,
9,2 yrs,2 yrs,RAM,,28,14,12,2,0.537,,,,0.0,0.0,0.0,,2.5,
