,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,2015,45,ATL,NFL,16,8,8,0,0.5,-3.8,-4.0,0.3,,,,,2.0,4,2,
1,2016,46,ATL,NFL,16,11,5,0,0.688,8.5,10.5,-2.0,3.0,2.0,1.0,0.667,1.0,8,6,NFC Champions
2,2017,47,ATL,NFL,16,10,6,0,0.625,4.3,1.1,3.2,2.0,1.0,1.0,0.5,3.0,4,2,
3,2018,48,ATL,NFL,16,7,9,0,0.438,-0.1,2.5,-2.6,,,,,2.0,1,0,
4,2019,49,ATL,NFL,16,7,9,0,0.438,-0.1,0.3,-0.4,,,,,2.0,5,0,
5,2020,50,ATL,NFL,5,0,5,0,0.0,0.7,-0.1,0.8,,,,,4.0,1,0,Fired after week 5
6,2024,54,WAS,NFL,17,12,5,0,0.706,3.7,4.9,-1.2,3.0,2.0,1.0,0.667,2.0,5,2,
7,7 yrs,7 yrs,,,102,55,47,0,0.539,,,,8.0,5.0,3.0,0.625,2.3,28,12,
8,6 yrs,6 yrs,ATL,,85,43,42,0,0.506,,,,5.0,3.0,2.0,0.6,2.3,23,10,
9,1 yr,1 yr,WAS,,17,12,5,0,0.706,,,,3.0,2.0,1.0,0.667,2.0,5,2,
