,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,1981,37,DEN,NFL,16,10,6,0,0.625,1.3,-1.6,2.9,,,,,2.0,,,
1,1982,38,DEN,NFL,9,2,7,0,0.222,-9.7,-6.0,-3.8,,,,,5.0,,,
2,1983,39,DEN,NFL,16,9,7,0,0.563,-2.8,-4.1,1.3,1.0,0.0,1.0,0.0,3.0,,,
3,1984,40,DEN,NFL,16,13,3,0,0.813,7.7,1.0,6.7,1.0,0.0,1.0,0.0,1.0,,,
4,1985,41,DEN,NFL,16,11,5,0,0.688,3.6,1.8,1.9,,,,,2.0,,,
5,1986,42,DEN,NFL,16,11,5,0,0.688,5.2,3.4,1.8,3.0,2.0,1.0,0.667,1.0,,,AFC Champions
6,1987,43,DEN,NFL,15,10,4,1,0.7,4.1,3.2,0.9,3.0,2.0,1.0,0.667,1.0,,,AFC Champions
7,1988,44,DEN,NFL,16,8,8,0,0.5,-3.3,0.1,-3.4,,,,,2.0,,,
8,1989,45,DEN,NFL,16,11,5,0,0.688,9.3,3.7,5.7,3.0,2.0,1.0,0.667,1.0,,,AFC Champions
9,1990,46,DEN,NFL,16,5,11,0,0.313,-0.8,2.1,-2.9,,,,,5.0,,,
10,1991,47,DEN,NFL,16,12,4,0,0.75,3.4,0.3,3.1,2.0,1.0,1.0,0.5,1.0,,,
11,1992,48,DEN,NFL,16,8,8,0,0.5,-3.4,-1.4,-1.9,,,,,3.0,,,
12,1993,49,NYG,NFL,16,11,5,0,0.688,4.6,-0.8,5.4,2.0,1.0,1.0,0.5,2.0,,,
13,1994,50,NYG,NFL,16,9,7,0,0.563,-1.7,-2.7,1.0,,,,,2.0,,,
14,1995,51,NYG,NFL,16,5,11,0,0.313,-1.5,-2.6,1.1,,,,,4.0,,,
15,1996,52,NYG,NFL,16,6,10,0,0.375,-4.1,-5.7,1.5,,,,,5.0,,,
16,1997,53,ATL,NFL,16,7,9,0,0.438,-4.2,-1.2,-2.9,,,,,3.0,,,
17,1998,54,ATL,NFL,16,14,2,0,0.875,10.0,7.0,3.0,3.0,2.0,1.0,0.667,1.0,,,NFC Champions
18,1999,55,ATL,NFL,16,5,11,0,0.313,-7.1,-4.0,-3.0,,,,,3.0,4.0,0.0,
19,2000,56,ATL,NFL,16,4,12,0,0.25,-8.6,-5.7,-2.9,,,,,5.0,8.0,2.0,
20,2001,57,ATL,NFL,16,7,9,0,0.438,-4.7,-2.7,-2.0,,,,,4.0,5.0,2.0,
21,2002,58,ATL,NFL,16,9,6,1,0.594,5.1,3.5,1.5,2.0,1.0,1.0,0.5,2.0,9.0,0.0,
22,2003,59,ATL,NFL,13,3,10,0,0.231,-7.4,-2.0,-5.4,,,,,4.0,2.0,0.0,Fired after week 14
23,23 yrs,23 yrs,,,357,190,165,2,0.535,,,,20.0,11.0,9.0,0.55,2.7,28.0,4.0,
24,12 yrs,12 yrs,DEN,,184,110,73,1,0.601,,,,13.0,7.0,6.0,0.538,2.3,,,
25,7 yrs,7 yrs,ATL,,109,49,59,1,0.454,,,,5.0,3.0,2.0,0.6,3.1,28.0,4.0,
26,4 yrs,4 yrs,NYG,,64,31,33,0,0.484,,,,2.0,1.0,1.0,0.5,3.3,,,
