,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,2009,47,NYJ,NFL,16,9,7,0,0.563,8.6,1.1,7.5,3.0,2.0,1.0,0.667,2.0,8,4,
1,2010,48,NYJ,NFL,16,11,5,0,0.688,6.5,2.2,4.2,3.0,2.0,1.0,0.667,2.0,10,4,
2,2011,49,NYJ,NFL,16,8,8,0,0.5,0.9,1.2,-0.3,,,,,2.0,10,9,
3,2012,50,NYJ,NFL,16,6,10,0,0.375,-5.9,-5.1,-0.9,,,,,3.0,9,3,
4,2013,51,NYJ,NFL,16,8,8,0,0.5,-6.1,-4.7,-1.4,,,,,2.0,7,2,
5,2014,52,NYJ,NFL,16,4,12,0,0.25,-5.0,-4.0,-1.0,,,,,4.0,5,1,
6,2015,53,BUF,NFL,16,8,8,0,0.5,0.0,0.3,-0.2,,,,,3.0,9,6,
7,2016,54,BUF,NFL,15,7,8,0,0.467,-0.3,1.8,-2.2,,,,,3.0,9,5,Fired after Week 16
8,8 yrs,8 yrs,,,127,61,66,0,0.48,,,,6.0,4.0,2.0,0.667,2.6,67,34,
9,6 yrs,6 yrs,NYJ,,96,46,50,0,0.479,,,,6.0,4.0,2.0,0.667,2.5,49,23,
10,2 yrs,2 yrs,BUF,,31,15,16,0,0.484,,,,0.0,0.0,0.0,,3.0,18,11,
