,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1979,48,SFO,NFL,16,2,14,0,0.125,-7.4,-1.3,-6.1,,,,,4.0,
1,1980,49,SFO,NFL,16,6,10,0,0.375,-6.3,-1.2,-5.1,,,,,3.0,
2,1981,50,SFO,NFL,16,13,3,0,0.813,6.2,1.3,5.0,3.0,3.0,0.0,1.0,1.0,Super Bowl Champions
3,1982,51,SFO,NFL,9,3,6,0,0.333,-2.4,0.3,-2.8,,,,,3.0,
4,1983,52,SFO,NFL,16,10,6,0,0.625,8.7,5.7,3.0,2.0,1.0,1.0,0.5,1.0,
5,1984,53,SFO,NFL,16,15,1,0,0.938,12.7,7.4,5.4,3.0,3.0,0.0,1.0,1.0,Super Bowl Champions
6,1985,54,SFO,NFL,16,10,6,0,0.625,8.8,4.6,4.2,1.0,0.0,1.0,0.0,2.0,
7,1986,55,SFO,NFL,16,10,5,1,0.656,7.0,2.6,4.4,1.0,0.0,1.0,0.0,1.0,
8,1987,56,SFO,NFL,15,13,2,0,0.867,13.3,8.9,4.4,1.0,0.0,1.0,0.0,1.0,
9,1988,57,SFO,NFL,16,10,6,0,0.625,4.8,3.1,1.7,3.0,3.0,0.0,1.0,1.0,Super Bowl Champions
10,10 yrs,10 yrs,,,152,92,59,1,0.609,,,,14.0,10.0,4.0,0.714,1.8,
