,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1924,28,KAN,NFL,9,2,7,0,0.222,-2.6,-1.6,-1.0,,,,,15.0,
1,1925,29,KAN,NFL,8,2,5,1,0.286,4.5,5.2,-0.7,,,,,13.0,
2,1926,30,KAN,NFL,11,8,3,0,0.727,5.5,1.2,4.3,,,,,4.0,
3,1927,31,CLE,NFL,13,8,4,1,0.667,9.7,7.9,1.7,,,,,4.0,
4,1928,32,DET,NFL,10,7,2,1,0.778,12.6,10.2,2.4,,,,,3.0,
5,1929,33,NYG,NFL,15,13,1,1,0.929,13.9,12.2,1.7,,,,,2.0,
6,1930,34,NYG,NFL,15,11,4,0,0.733,11.7,7.8,3.9,,,,,2.0,
7,1931,35,CRD,NFL,1,0,1,0,0.0,3.0,5.4,-2.3,,,,,4.0,
8,8 yrs,8 yrs,,,82,51,27,4,0.654,,,,0.0,0.0,0.0,,5.9,
9,3 yrs,3 yrs,KAN,,28,12,15,1,0.444,,,,0.0,0.0,0.0,,10.7,
10,2 yrs,2 yrs,NYG,,30,24,5,1,0.828,,,,0.0,0.0,0.0,,2.0,
11,1 yr,1 yr,CLE,,13,8,4,1,0.667,,,,0.0,0.0,0.0,,4.0,
12,1 yr,1 yr,CRD,,1,0,1,0,0.0,,,,0.0,0.0,0.0,,4.0,
13,1 yr,1 yr,DET,,10,7,2,1,0.778,,,,0.0,0.0,0.0,,3.0,
