,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1976,39,SFO,NFL,14,8,6,0,0.571,3.8,-1.3,5.0,,,,,2.0,
1,1978,41,DET,NFL,16,7,9,0,0.438,-1.8,-0.1,-1.7,,,,,3.0,
2,1979,42,DET,NFL,16,2,14,0,0.125,-11.0,-6.6,-4.4,,,,,5.0,
3,1980,43,DET,NFL,16,9,7,0,0.563,1.7,-0.8,2.5,,,,,2.0,
4,1981,44,DET,NFL,16,8,8,0,0.5,5.3,4.8,0.5,,,,,2.0,
5,1982,45,DET,NFL,9,4,5,0,0.444,1.3,-0.4,1.7,1.0,0.0,1.0,0.0,4.0,
6,1983,46,DET,NFL,16,9,7,0,0.563,2.1,-1.2,3.3,1.0,0.0,1.0,0.0,1.0,
7,1984,47,DET,NFL,16,4,11,1,0.281,-6.3,-2.9,-3.4,,,,,4.0,
8,8 yrs,8 yrs,,,119,51,67,1,0.433,,,,2.0,0.0,2.0,0.0,2.9,
9,7 yrs,7 yrs,DET,,105,43,61,1,0.414,,,,2.0,0.0,2.0,0.0,3.0,
10,1 yr,1 yr,SFO,,14,8,6,0,0.571,,,,0.0,0.0,0.0,,2.0,
