,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1921,23,RII,APFA,5,4,1,0,0.8,8.0,1.2,6.9,,,,,5.0,
1,1922,24,MIL,NFL,3,0,3,0,0.0,-1.8,-2.2,0.4,,,,,11.0,
2,1922,24,RII,NFL,7,4,2,1,0.667,12.5,11.8,0.7,,,,,5.0,
3,1923,25,MIL,NFL,12,7,2,3,0.778,4.0,0.5,3.6,,,,,3.0,
4,1925,27,DET,NFL,12,8,2,2,0.8,-0.9,-2.5,1.6,,,,,3.0,
5,1926,28,DET,NFL,12,4,6,2,0.4,1.3,-0.4,1.7,,,,,12.0,
6,1927,29,PRV,NFL,14,8,5,1,0.615,-1.7,-3.4,1.7,,,,,5.0,
7,1928,30,PRV,NFL,11,8,1,2,0.889,4.9,0.3,4.6,,,,,1.0,NFL Champions
8,1929,31,PRV,NFL,12,4,6,2,0.4,-2.0,-1.5,-0.5,,,,,7.0,
9,1930,32,PRV,NFL,11,6,4,1,0.6,-6.5,-4.3,-2.2,,,,,5.0,
10,1940,42,CRD,NFL,11,2,7,2,0.222,-4.3,-1.3,-2.9,,,,,5.0,
11,1941,43,CRD,NFL,11,3,7,1,0.3,-1.6,-3.3,1.8,,,,,4.0,
12,1942,44,CRD,NFL,11,3,8,0,0.273,-7.5,-7.0,-0.5,,,,,4.0,
13,1946,48,CRD,NFL,11,6,5,0,0.545,5.1,4.5,0.6,,,,,3.0,
14,1947,49,CRD,NFL,12,9,3,0,0.75,8.1,4.4,3.7,1.0,1.0,0.0,1.0,1.0,NFL Champions
15,1948,50,CRD,NFL,12,11,1,0,0.917,13.2,9.9,3.3,1.0,0.0,1.0,0.0,1.0,
16,15 yrs,15 yrs,,,167,87,63,17,0.58,,,,2.0,1.0,1.0,0.5,4.7,
17,6 yrs,6 yrs,CRD,,68,34,31,3,0.523,,,,2.0,1.0,1.0,0.5,3.0,
18,4 yrs,4 yrs,PRV,,48,26,16,6,0.619,,,,0.0,0.0,0.0,,4.5,
19,2 yrs,2 yrs,DET,,24,12,8,4,0.6,,,,0.0,0.0,0.0,,7.5,
20,2 yrs,2 yrs,MIL,,15,7,5,3,0.583,,,,0.0,0.0,0.0,,7.0,
21,2 yrs,2 yrs,RII,,12,8,3,1,0.727,,,,0.0,0.0,0.0,,5.0,
