,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,2003,40,JAX,NFL,16,5,11,0,0.313,-2.4,-3.3,0.9,,,,,3.0,8,3,
1,2004,41,JAX,NFL,16,9,7,0,0.563,0.8,-5.7,6.4,,,,,2.0,13,4,
2,2005,42,JAX,NFL,16,12,4,0,0.75,4.8,1.1,3.7,1.0,0.0,1.0,0.0,2.0,7,2,
3,2006,43,JAX,NFL,16,8,8,0,0.5,7.5,2.6,4.9,,,,,3.0,5,4,
4,2007,44,JAX,NFL,16,11,5,0,0.688,6.8,4.8,2.0,2.0,1.0,1.0,0.5,2.0,10,2,
5,2008,45,JAX,NFL,16,5,11,0,0.313,-2.5,-2.1,-0.4,,,,,4.0,7,1,
6,2009,46,JAX,NFL,16,7,9,0,0.438,-6.5,-3.8,-2.6,,,,,4.0,6,2,
7,2010,47,JAX,NFL,16,8,8,0,0.5,-4.5,-1.2,-3.3,,,,,2.0,6,1,
8,2011,48,JAX,NFL,11,3,8,0,0.273,-5.6,-7.1,1.4,,,,,3.0,4,1,Fired after Week 12
9,2015,52,OAK,NFL,16,7,9,0,0.438,-0.2,1.4,-1.6,,,,,3.0,5,2,
10,2016,53,OAK,NFL,16,12,4,0,0.75,3.3,3.5,-0.3,1.0,0.0,1.0,0.0,2.0,7,4,
11,2017,54,OAK,NFL,16,6,10,0,0.375,-4.7,-3.0,-1.8,,,,,3.0,7,3,
12,12 yrs,12 yrs,,,187,93,94,0,0.497,,,,4.0,1.0,3.0,0.25,2.8,85,29,
13,9 yrs,9 yrs,JAX,,139,68,71,0,0.489,,,,3.0,1.0,2.0,0.333,2.8,66,20,
14,3 yrs,3 yrs,OAK,,48,25,23,0,0.521,,,,1.0,0.0,1.0,0.0,2.7,19,9,
