,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1936,33,BOS,NFL,12,7,5,0,0.583,0.3,-1.0,1.3,1.0,0.0,1.0,0.0,1.0,
1,1937,34,WAS,NFL,11,8,3,0,0.727,3.0,3.5,-0.6,1.0,1.0,0.0,1.0,1.0,NFL Champions
2,1938,35,WAS,NFL,11,6,3,2,0.667,-1.1,0.1,-1.1,,,,,2.0,
3,1939,36,WAS,NFL,11,8,2,1,0.8,9.0,5.6,3.4,,,,,2.0,
4,1940,37,WAS,NFL,11,9,2,0,0.818,6.5,7.3,-0.8,1.0,0.0,1.0,0.0,1.0,
5,1941,38,WAS,NFL,11,6,5,0,0.545,-1.4,-1.6,0.2,,,,,3.0,
6,1942,39,WAS,NFL,11,10,1,0,0.909,7.6,4.9,2.7,1.0,1.0,0.0,1.0,1.0,NFL Champions
7,1946,43,NYY,AAFC,14,10,3,1,0.769,4.9,-1.3,6.2,1.0,0.0,1.0,0.0,1.0,
8,1947,44,NYY,AAFC,14,11,2,1,0.846,8.7,5.3,3.4,1.0,0.0,1.0,0.0,1.0,
9,1948,45,NYY,AAFC,4,1,3,0,0.25,-2.3,-4.2,1.9,,,,,3.0,
10,1949,46,CHH,AAFC,12,4,8,0,0.333,-5.9,-6.2,0.3,,,,,5.0,
11,11 yrs,11 yrs,,,122,80,37,5,0.684,,,,6.0,2.0,4.0,0.333,1.9,
12,7 yrs,7 yrs,BOS-WAS,,78,54,21,3,0.72,,,,4.0,2.0,2.0,0.5,1.6,
13,3 yrs,3 yrs,NYY,,32,22,8,2,0.733,,,,2.0,0.0,2.0,0.0,1.7,
14,1 yr,1 yr,CHH,,12,4,8,0,0.333,,,,0.0,0.0,0.0,,5.0,
