,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,1998,35,OAK,NFL,16,8,8,0,0.5,-5.6,-4.1,-1.5,,,,,2.0,,,
1,1999,36,OAK,NFL,16,8,8,0,0.5,6.8,5.7,1.0,,,,,4.0,3.0,1.0,
2,2000,37,OAK,NFL,16,12,4,0,0.75,9.7,8.0,1.8,2.0,1.0,1.0,0.5,1.0,9.0,4.0,
3,2001,38,OAK,NFL,16,10,6,0,0.625,3.6,4.0,-0.4,2.0,1.0,1.0,0.5,1.0,5.0,2.0,
4,2002,39,TAM,NFL,16,12,4,0,0.75,8.8,-1.0,9.8,3.0,3.0,0.0,1.0,1.0,8.0,4.0,Super Bowl Champions
5,2003,40,TAM,NFL,16,7,9,0,0.438,1.6,-2.9,4.5,,,,,3.0,8.0,2.0,
6,2004,41,TAM,NFL,16,5,11,0,0.313,-2.7,-4.0,1.3,,,,,4.0,8.0,3.0,
7,2005,42,TAM,NFL,16,11,5,0,0.688,-1.0,-2.8,1.8,1.0,0.0,1.0,0.0,1.0,11.0,3.0,
8,2006,43,TAM,NFL,16,4,12,0,0.25,-7.9,-7.2,-0.8,,,,,4.0,9.0,4.0,
9,2007,44,TAM,NFL,16,9,7,0,0.563,1.2,-2.3,3.6,1.0,0.0,1.0,0.0,1.0,7.0,3.0,
10,2008,45,TAM,NFL,16,9,7,0,0.563,2.3,-0.6,2.9,,,,,3.0,11.0,3.0,
11,2018,55,OAK,NFL,16,4,12,0,0.25,-9.3,-5.2,-4.1,,,,,4.0,7.0,3.0,
12,2019,56,OAK,NFL,16,7,9,0,0.438,-6.9,-2.5,-4.4,,,,,3.0,10.0,1.0,
13,2020,57,LVR,NFL,16,8,8,0,0.5,-2.0,2.9,-4.9,,,,,2.0,5.0,2.0,
14,2021,58,LVR,NFL,5,3,2,0,0.6,-3.3,-0.7,-2.6,1.0,0.0,1.0,0.0,2.0,0.0,0.0,Resigned after Week 5
15,15 yrs,15 yrs,,,229,117,112,0,0.511,,,,10.0,5.0,5.0,0.5,2.4,101.0,35.0,
16,8 yrs,8 yrs,LVR-OAK,,117,60,57,0,0.513,,,,5.0,2.0,3.0,0.4,2.4,39.0,13.0,
17,7 yrs,7 yrs,TAM,,112,57,55,0,0.509,,,,5.0,3.0,2.0,0.6,2.4,62.0,22.0,
