,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1983,41,ATL,NFL,16,7,9,0,0.438,0.9,2.9,-2.1,,,,,4.0,
1,1984,42,ATL,NFL,16,4,12,0,0.25,-6.6,-3.7,-2.9,,,,,4.0,
2,1985,43,ATL,NFL,16,4,12,0,0.25,-8.9,-2.1,-6.8,,,,,4.0,
3,1986,44,ATL,NFL,16,7,8,1,0.469,-0.5,-2.8,2.3,,,,,3.0,
4,1989,47,SDG,NFL,16,6,10,0,0.375,-0.7,-2.9,2.1,,,,,5.0,
5,1990,48,SDG,NFL,16,6,10,0,0.375,2.3,-0.1,2.5,,,,,4.0,
6,1991,49,SDG,NFL,16,4,12,0,0.25,-2.2,-0.6,-1.7,,,,,5.0,
7,7 yrs,7 yrs,,,112,38,73,1,0.344,,,,0.0,0.0,0.0,,4.1,
8,4 yrs,4 yrs,ATL,,64,22,41,1,0.352,,,,0.0,0.0,0.0,,3.8,
9,3 yrs,3 yrs,SDG,,48,16,32,0,0.333,,,,0.0,0.0,0.0,,4.7,
