,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,1992,44,GNB,NFL,16,9,7,0,0.563,-1.6,-2.6,1.0,,,,,2.0,,,
1,1993,45,GNB,NFL,16,9,7,0,0.563,3.2,2.7,0.5,2.0,1.0,1.0,0.5,3.0,,,
2,1994,46,GNB,NFL,16,9,7,0,0.563,6.0,3.8,2.2,2.0,1.0,1.0,0.5,2.0,,,
3,1995,47,GNB,NFL,16,11,5,0,0.688,6.0,3.5,2.5,3.0,2.0,1.0,0.667,1.0,,,
4,1996,48,GNB,NFL,16,13,3,0,0.813,15.3,8.7,6.6,3.0,3.0,0.0,1.0,1.0,,,Super Bowl Champions
5,1997,49,GNB,NFL,16,13,3,0,0.813,7.7,5.3,2.4,3.0,2.0,1.0,0.667,1.0,,,NFC Champions
6,1998,50,GNB,NFL,16,11,5,0,0.688,5.0,4.3,0.7,1.0,0.0,1.0,0.0,2.0,,,
7,1999,51,SEA,NFL,16,9,7,0,0.563,4.5,1.9,2.6,1.0,0.0,1.0,0.0,1.0,3.0,0.0,
8,2000,52,SEA,NFL,16,6,10,0,0.375,-3.7,-1.4,-2.3,,,,,4.0,5.0,2.0,
9,2001,53,SEA,NFL,16,9,7,0,0.563,-1.9,-1.4,-0.4,,,,,2.0,5.0,0.0,
10,2002,54,SEA,NFL,16,7,9,0,0.438,-1.3,0.0,-1.2,,,,,3.0,5.0,0.0,
11,2003,55,SEA,NFL,16,10,6,0,0.625,4.1,3.6,0.5,1.0,0.0,1.0,0.0,2.0,5.0,1.0,
12,2004,56,SEA,NFL,16,9,7,0,0.563,-2.9,0.4,-3.3,1.0,0.0,1.0,0.0,1.0,6.0,1.0,
13,2005,57,SEA,NFL,16,13,3,0,0.813,9.1,5.8,3.4,3.0,2.0,1.0,0.667,1.0,4.0,2.0,NFC Champions
14,2006,58,SEA,NFL,16,9,7,0,0.563,-3.6,-1.7,-1.9,2.0,1.0,1.0,0.5,1.0,6.0,2.0,
15,2007,59,SEA,NFL,16,10,6,0,0.625,1.8,0.8,0.9,2.0,1.0,1.0,0.5,1.0,6.0,5.0,
16,2008,60,SEA,NFL,16,4,12,0,0.25,-7.6,-4.9,-2.8,,,,,3.0,5.0,1.0,
17,17 yrs,17 yrs,,,272,161,111,0,0.592,,,,24.0,13.0,11.0,0.542,1.8,50.0,14.0,
18,10 yrs,10 yrs,SEA,,160,86,74,0,0.538,,,,10.0,4.0,6.0,0.4,1.9,50.0,14.0,
19,7 yrs,7 yrs,GNB,,112,75,37,0,0.67,,,,14.0,9.0,5.0,0.643,1.7,,,
