,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1961,42,HOU,AFL,9,9,0,0,1.0,16.9,11.4,5.5,1.0,1.0,0.0,1.0,1.0,AFL Champions
1,1962,43,STL,NFL,14,4,9,1,0.308,-7.3,-3.7,-3.6,,,,,6.0,
2,1963,44,STL,NFL,14,9,5,0,0.643,4.0,1.2,2.8,,,,,3.0,
3,1964,45,STL,NFL,14,9,3,2,0.75,-0.6,2.5,-3.1,,,,,2.0,
4,1965,46,STL,NFL,14,5,9,0,0.357,-7.0,-4.6,-2.4,,,,,5.0,
5,1966,47,HOU,AFL,14,3,11,0,0.214,-4.8,2.1,-6.9,,,,,4.0,
6,1967,48,HOU,AFL,14,9,4,1,0.692,2.6,-5.7,8.3,1.0,0.0,1.0,0.0,1.0,
7,1968,49,HOU,AFL,14,7,7,0,0.5,3.1,-1.0,4.1,,,,,2.0,
8,1969,50,HOU,AFL,14,6,6,2,0.5,-1.2,-2.1,0.9,1.0,0.0,1.0,0.0,2.0,
9,1970,51,HOU,NFL,14,3,10,1,0.231,-9.2,-3.5,-5.8,,,,,4.0,
10,10 yrs,10 yrs,,,135,64,64,7,0.5,,,,3.0,1.0,2.0,0.333,3.0,
11,6 yrs,6 yrs,HOU,,79,37,38,4,0.493,,,,3.0,1.0,2.0,0.333,2.3,
12,4 yrs,4 yrs,STL,,56,27,26,3,0.509,,,,0.0,0.0,0.0,,4.0,
