,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,2013,49,BUF,NFL,16,6,10,0,0.375,-3.2,-1.3,-1.9,,,,,4.0,7,3,
1,2014,50,BUF,NFL,16,9,7,0,0.563,4.9,-0.4,5.3,,,,,2.0,5,3,
2,2016,52,JAX,NFL,2,1,1,0,0.5,-5.0,-2.7,-2.3,,,,,4.0,0,0,Hired after week 14
3,2017,53,JAX,NFL,16,10,6,0,0.625,6.5,3.0,3.6,3.0,2.0,1.0,0.667,1.0,9,6,
4,2018,54,JAX,NFL,16,5,11,0,0.313,-4.0,-8.1,4.0,,,,,4.0,8,7,
5,2019,55,JAX,NFL,16,6,10,0,0.375,-6.7,-4.6,-2.1,,,,,4.0,8,3,
6,2020,56,JAX,NFL,16,1,15,0,0.063,-11.7,-6.5,-5.3,,,,,4.0,5,4,
7,7 yrs,7 yrs,,,98,38,60,0,0.388,,,,3.0,2.0,1.0,0.667,3.3,42,26,
8,5 yrs,5 yrs,JAX,,66,23,43,0,0.348,,,,3.0,2.0,1.0,0.667,3.4,30,20,
9,2 yrs,2 yrs,BUF,,32,15,17,0,0.469,,,,0.0,0.0,0.0,,3.0,12,6,
