,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1960,39,BOS,AFL,14,5,9,0,0.357,-3.9,-3.7,-0.2,,,,,4.0,
1,1961,40,BOS,AFL,5,2,3,0,0.4,6.3,4.8,1.4,,,,,2.0,
2,1962,41,BUF,AFL,14,7,6,1,0.538,2.3,-1.6,3.9,,,,,3.0,
3,1963,42,BUF,AFL,14,7,6,1,0.538,0.8,-1.8,2.6,1.0,0.0,1.0,0.0,1.0,
4,1964,43,BUF,AFL,14,12,2,0,0.857,9.9,4.6,5.3,1.0,1.0,0.0,1.0,1.0,AFL Champions
5,1965,44,BUF,AFL,14,10,3,1,0.769,5.4,0.1,5.3,1.0,1.0,0.0,1.0,1.0,AFL Champions
6,1967,46,DEN,AFL,14,3,11,0,0.214,-8.4,-2.8,-5.6,,,,,4.0,
7,1968,47,DEN,AFL,14,5,9,0,0.357,-8.9,-2.9,-6.0,,,,,4.0,
8,1969,48,DEN,AFL,14,5,8,1,0.385,-2.0,1.0,-3.0,,,,,4.0,
9,1970,49,DEN,NFL,14,5,8,1,0.385,-2.6,-2.5,-0.1,,,,,4.0,
10,1971,50,DEN,NFL,9,2,6,1,0.25,-4.5,-5.5,1.0,,,,,4.0,
11,1972,51,BUF,NFL,14,4,9,1,0.321,-7.2,-1.6,-5.6,,,,,4.0,
12,1973,52,BUF,NFL,14,9,5,0,0.643,0.4,-1.8,2.1,,,,,2.0,
13,1974,53,BUF,NFL,14,9,5,0,0.643,1.0,-0.3,1.4,1.0,0.0,1.0,0.0,2.0,
14,1975,54,BUF,NFL,14,8,6,0,0.571,7.1,10.4,-3.4,,,,,3.0,
15,1976,55,BUF,NFL,5,2,3,0,0.4,-9.2,-2.5,-6.7,,,,,5.0,
16,16 yrs,16 yrs,,,201,95,99,7,0.49,,,,4.0,2.0,2.0,0.5,3.0,
17,9 yrs,9 yrs,BUF,,117,68,45,4,0.601,,,,4.0,2.0,2.0,0.5,2.4,
18,5 yrs,5 yrs,DEN,,65,20,42,3,0.323,,,,0.0,0.0,0.0,,4.0,
19,2 yrs,2 yrs,BOS,,19,7,12,0,0.368,,,,0.0,0.0,0.0,,3.0,
