,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,2004,46,CHI,NFL,16,5,11,0,0.313,-8.2,-8.5,0.3,,,,,4.0,10,4,
1,2005,47,CHI,NFL,16,11,5,0,0.688,1.4,-5.2,6.6,1.0,0.0,1.0,0.0,1.0,9,2,
2,2006,48,CHI,NFL,16,13,3,0,0.813,7.9,4.9,3.0,3.0,2.0,1.0,0.667,1.0,11,4,NFC Champions
3,2007,49,CHI,NFL,16,7,9,0,0.438,1.2,-0.2,1.4,,,,,4.0,6,3,
4,2008,50,CHI,NFL,16,9,7,0,0.563,2.1,1.1,1.0,,,,,2.0,9,3,
5,2009,51,CHI,NFL,16,7,9,0,0.438,-3.9,-1.9,-2.0,,,,,3.0,9,2,
6,2010,52,CHI,NFL,16,11,5,0,0.688,4.1,-0.6,4.7,2.0,1.0,1.0,0.5,1.0,7,2,
7,2011,53,CHI,NFL,16,8,8,0,0.5,1.7,-1.5,3.1,,,,,3.0,6,4,
8,2012,54,CHI,NFL,16,10,6,0,0.625,6.9,1.0,6.0,,,,,3.0,5,2,
9,2014,56,TAM,NFL,16,2,14,0,0.125,-9.8,-6.5,-3.3,,,,,4.0,7,4,
10,2015,57,TAM,NFL,16,6,10,0,0.375,-7.7,-3.5,-4.2,,,,,4.0,7,4,
11,2022,64,HOU,NFL,17,3,13,1,0.206,-8.5,-5.4,-3.1,,,,,4.0,2,1,
12,12 yrs,12 yrs,,,193,92,100,1,0.479,,,,6.0,3.0,3.0,0.5,2.8,88,35,
13,9 yrs,9 yrs,CHI,,144,81,63,0,0.563,,,,6.0,3.0,3.0,0.5,2.4,72,26,
14,2 yrs,2 yrs,TAM,,32,8,24,0,0.25,,,,0.0,0.0,0.0,,4.0,14,8,
15,1 yr,1 yr,HOU,,17,3,13,1,0.206,,,,,,,,4.0,2,1,
