,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,1994,42,WAS,NFL,16,3,13,0,0.188,-6.1,0.3,-6.4,,,,,5.0,,,
1,1995,43,WAS,NFL,16,6,10,0,0.375,-1.9,-0.8,-1.2,,,,,3.0,,,
2,1996,44,WAS,NFL,16,9,7,0,0.563,1.8,2.3,-0.4,,,,,3.0,,,
3,1997,45,WAS,NFL,16,8,7,1,0.531,1.3,-0.6,1.8,,,,,2.0,,,
4,1998,46,WAS,NFL,16,6,10,0,0.375,-7.5,-1.5,-6.0,,,,,4.0,,,
5,1999,47,WAS,NFL,16,10,6,0,0.625,2.9,6.8,-3.9,2.0,1.0,1.0,0.5,1.0,7.0,3.0,
6,2000,48,WAS,NFL,13,7,6,0,0.538,1.0,-2.9,3.8,,,,,3.0,2.0,1.0,Fired after week 14
7,2004,52,OAK,NFL,16,5,11,0,0.313,-4.3,-0.6,-3.7,,,,,4.0,6.0,2.0,
8,2005,53,OAK,NFL,16,4,12,0,0.25,-2.8,-1.2,-1.6,,,,,4.0,4.0,1.0,
9,2007,55,SDG,NFL,16,11,5,0,0.688,8.8,4.3,4.5,3.0,2.0,1.0,0.667,1.0,7.0,1.0,
10,2008,56,SDG,NFL,16,8,8,0,0.5,5.0,5.0,0.0,2.0,1.0,1.0,0.5,1.0,8.0,0.0,
11,2009,57,SDG,NFL,16,13,3,0,0.813,6.6,6.4,0.2,1.0,0.0,1.0,0.0,1.0,8.0,3.0,
12,2010,58,SDG,NFL,16,9,7,0,0.563,4.8,3.2,1.6,,,,,2.0,7.0,2.0,
13,2011,59,SDG,NFL,16,8,8,0,0.5,0.9,2.7,-1.8,,,,,2.0,4.0,2.0,
14,2012,60,SDG,NFL,16,7,9,0,0.438,-2.3,-2.0,-0.4,,,,,2.0,3.0,1.0,
15,15 yrs,15 yrs,,,237,114,122,1,0.483,,,,8.0,4.0,4.0,0.5,2.5,56.0,16.0,
16,7 yrs,7 yrs,WAS,,109,49,59,1,0.454,,,,2.0,1.0,1.0,0.5,3.0,9.0,4.0,
17,6 yrs,6 yrs,SDG,,96,56,40,0,0.583,,,,6.0,3.0,3.0,0.5,1.5,37.0,9.0,
18,2 yrs,2 yrs,OAK,,32,9,23,0,0.281,,,,0.0,0.0,0.0,,4.0,10.0,3.0,
