,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1961,35,MIN,NFL,14,3,11,0,0.214,-6.6,0.1,-6.8,,,,,7.0,
1,1962,36,MIN,NFL,14,2,11,1,0.154,-6.7,-0.8,-6.0,,,,,6.0,
2,1963,37,MIN,NFL,14,5,8,1,0.385,-5.4,1.7,-7.1,,,,,4.0,
3,1964,38,MIN,NFL,14,8,5,1,0.615,5.8,4.6,1.1,,,,,2.0,
4,1965,39,MIN,NFL,14,7,7,0,0.5,5.1,7.9,-2.8,,,,,5.0,
5,1966,40,MIN,NFL,14,4,9,1,0.308,2.2,1.9,0.3,,,,,6.0,
6,1968,42,ATL,NFL,11,2,9,0,0.182,-12.0,-6.4,-5.6,,,,,4.0,
7,1969,43,ATL,NFL,14,6,8,0,0.429,2.8,0.3,2.5,,,,,3.0,
8,1970,44,ATL,NFL,14,4,8,2,0.333,-2.3,-3.5,1.2,,,,,3.0,
9,1971,45,ATL,NFL,14,7,6,1,0.538,1.3,0.3,1.0,,,,,3.0,
10,1972,46,ATL,NFL,14,7,7,0,0.5,-1.9,-2.3,0.4,,,,,2.0,
11,1973,47,ATL,NFL,14,9,5,0,0.643,5.9,2.3,3.5,,,,,2.0,
12,1974,48,ATL,NFL,8,2,6,0,0.25,-12.3,-9.7,-2.6,,,,,4.0,
13,13 yrs,13 yrs,,,173,66,100,7,0.398,,,,0.0,0.0,0.0,,3.9,
14,7 yrs,7 yrs,ATL,,89,37,49,3,0.43,,,,0.0,0.0,0.0,,3.0,
15,6 yrs,6 yrs,MIN,,84,29,51,4,0.363,,,,0.0,0.0,0.0,,5.0,
