,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1966,48,RAM,NFL,14,8,6,0,0.571,6.0,-0.5,6.5,,,,,3.0,
1,1967,49,RAM,NFL,14,11,1,2,0.917,13.6,6.6,7.0,1.0,0.0,1.0,0.0,1.0,
2,1968,50,RAM,NFL,14,10,3,1,0.769,8.7,2.0,6.7,,,,,2.0,
3,1969,51,RAM,NFL,14,11,3,0,0.786,7.1,3.2,3.9,1.0,0.0,1.0,0.0,1.0,
4,1970,52,RAM,NFL,14,9,4,1,0.692,9.6,4.4,5.3,,,,,2.0,
5,1971,53,WAS,NFL,14,9,4,1,0.692,5.1,-0.6,5.8,1.0,0.0,1.0,0.0,2.0,
6,1972,54,WAS,NFL,14,11,3,0,0.786,6.3,2.7,3.7,3.0,2.0,1.0,0.667,1.0,NFC Champions
7,1973,55,WAS,NFL,14,10,4,0,0.714,7.4,1.2,6.2,1.0,0.0,1.0,0.0,2.0,
8,1974,56,WAS,NFL,14,10,4,0,0.714,10.2,5.7,4.5,1.0,0.0,1.0,0.0,2.0,
9,1975,57,WAS,NFL,14,8,6,0,0.571,2.8,2.6,0.3,,,,,3.0,
10,1976,58,WAS,NFL,14,10,4,0,0.714,3.0,1.2,1.8,1.0,0.0,1.0,0.0,2.0,
11,1977,59,WAS,NFL,14,9,5,0,0.643,-0.5,-3.1,2.6,,,,,2.0,
12,12 yrs,12 yrs,,,168,116,47,5,0.712,,,,9.0,2.0,7.0,0.222,1.9,
13,7 yrs,7 yrs,WAS,,98,67,30,1,0.691,,,,7.0,2.0,5.0,0.286,2.0,
14,5 yrs,5 yrs,RAM,,70,49,17,4,0.742,,,,2.0,0.0,2.0,0.0,1.8,
