,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,2012,60,Indianapolis Colts,NFL,12,9,3,0,0.75,,,,,,,,,,,"As interim coach, league awarded all W-L to Chuck Pagano and record is not reflected in career totals"
1,2013,61,ARI,NFL,16,10,6,0,0.625,6.4,2.7,3.7,,,,,3.0,6.0,4.0,
2,2014,62,ARI,NFL,16,11,5,0,0.688,2.0,-2.4,4.4,1.0,0.0,1.0,0.0,2.0,7.0,4.0,
3,2015,63,ARI,NFL,16,13,3,0,0.813,12.3,9.0,3.4,2.0,1.0,1.0,0.5,1.0,11.0,4.0,
4,2016,64,ARI,NFL,16,7,8,1,0.469,1.6,2.4,-0.8,,,,,2.0,5.0,1.0,
5,2017,65,ARI,NFL,16,8,8,0,0.5,-3.7,-4.0,0.2,,,,,3.0,6.0,4.0,
6,2019,67,TAM,NFL,16,7,9,0,0.438,0.4,4.9,-4.5,,,,,3.0,13.0,7.0,
7,2020,68,TAM,NFL,16,11,5,0,0.688,9.4,6.5,2.8,4.0,4.0,0.0,1.0,2.0,8.0,4.0,Super Bowl Champions
8,2021,69,TAM,NFL,17,13,4,0,0.765,8.6,7.3,1.3,2.0,1.0,1.0,0.5,1.0,3.0,1.0,
9,8 yrs,8 yrs,,,129,80,48,1,0.624,,,,9.0,6.0,3.0,0.667,2.1,59.0,29.0,
10,5 yrs,5 yrs,ARI,,80,49,30,1,0.619,,,,3.0,1.0,2.0,0.333,2.2,35.0,17.0,
11,3 yrs,3 yrs,TAM,,49,31,18,0,0.633,,,,6.0,5.0,1.0,0.833,2.0,24.0,12.0,
