,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,1991,39,CLE,NFL,16,6,10,0,0.375,-0.4,-0.7,0.4,,,,,3.0,,,
1,1992,40,CLE,NFL,16,7,9,0,0.438,-1.0,-2.0,1.0,,,,,3.0,,,
2,1993,41,CLE,NFL,16,7,9,0,0.438,-1.2,-0.6,-0.6,,,,,3.0,,,
3,1994,42,CLE,NFL,16,11,5,0,0.688,7.3,1.2,6.1,2.0,1.0,1.0,0.5,2.0,,,
4,1995,43,CLE,NFL,16,5,11,0,0.313,-3.8,-3.2,-0.6,,,,,4.0,,,
5,2000,48,NWE,NFL,16,5,11,0,0.313,-2.5,-2.7,0.2,,,,,5.0,4.0,0.0,
6,2001,49,NWE,NFL,16,11,5,0,0.688,4.3,1.2,3.1,3.0,3.0,0.0,1.0,1.0,6.0,3.0,Super Bowl Champions
7,2002,50,NWE,NFL,16,9,7,0,0.563,4.0,2.1,1.9,,,,,2.0,9.0,5.0,
8,2003,51,NWE,NFL,16,14,2,0,0.875,6.9,2.1,4.9,3.0,3.0,0.0,1.0,1.0,8.0,1.0,Super Bowl Champions
9,2004,52,NWE,NFL,16,14,2,0,0.875,12.8,6.4,6.5,3.0,3.0,0.0,1.0,1.0,8.0,5.0,Super Bowl Champions
10,2005,53,NWE,NFL,16,10,6,0,0.625,3.1,3.7,-0.5,2.0,1.0,1.0,0.5,1.0,8.0,3.0,
11,2006,54,NWE,NFL,16,12,4,0,0.75,10.2,4.3,5.9,3.0,2.0,1.0,0.667,1.0,5.0,1.0,
12,2007,55,NWE,NFL,16,16,0,0,1.0,20.1,15.9,4.2,3.0,2.0,1.0,0.667,1.0,8.0,4.0,AFC Champions
13,2008,56,NWE,NFL,16,11,5,0,0.688,3.9,2.3,1.6,,,,,2.0,6.0,2.0,
14,2009,57,NWE,NFL,16,10,6,0,0.625,11.2,6.7,4.5,1.0,0.0,1.0,0.0,1.0,7.0,1.0,
15,2010,58,NWE,NFL,16,14,2,0,0.875,15.4,12.6,2.8,1.0,0.0,1.0,0.0,1.0,9.0,4.0,
16,2011,59,NWE,NFL,16,13,3,0,0.813,9.3,9.4,-0.1,3.0,2.0,1.0,0.667,1.0,9.0,7.0,AFC Champions
17,2012,60,NWE,NFL,16,12,4,0,0.75,12.8,12.2,0.5,2.0,1.0,1.0,0.5,1.0,7.0,3.0,
18,2013,61,NWE,NFL,16,12,4,0,0.75,5.9,4.5,1.4,2.0,1.0,1.0,0.5,1.0,1.0,0.0,
19,2014,62,NWE,NFL,16,12,4,0,0.75,10.9,7.5,3.5,3.0,3.0,0.0,1.0,1.0,3.0,0.0,Super Bowl Champions
20,2015,63,NWE,NFL,16,12,4,0,0.75,7.0,5.3,1.7,2.0,1.0,1.0,0.5,1.0,5.0,2.0,
21,2016,64,NWE,NFL,16,14,2,0,0.875,9.3,4.3,5.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,Super Bowl Champions
22,2017,65,NWE,NFL,16,13,3,0,0.813,8.9,6.3,2.6,3.0,2.0,1.0,0.667,1.0,5.0,2.0,AFC Champions
23,2018,66,NWE,NFL,16,11,5,0,0.688,5.2,3.1,2.1,3.0,3.0,0.0,1.0,1.0,8.0,4.0,Super Bowl Champions
24,2019,67,NWE,NFL,16,12,4,0,0.75,10.4,2.8,7.6,1.0,0.0,1.0,0.0,1.0,5.0,1.0,
25,2020,68,NWE,NFL,16,7,9,0,0.438,-1.0,-4.2,3.2,,,,,3.0,4.0,2.0,
26,2021,69,NWE,NFL,17,10,7,0,0.588,8.5,3.6,4.8,1.0,0.0,1.0,0.0,2.0,1.0,0.0,
27,2022,70,NWE,NFL,17,8,9,0,0.471,2.0,-0.3,2.3,,,,,3.0,1.0,1.0,
28,2023,71,NWE,NFL,17,4,13,0,0.235,-7.9,-8.5,0.6,,,,,4.0,3.0,1.0,
29,29 yrs,29 yrs,,,467,302,165,0,0.647,,,,44.0,31.0,13.0,0.705,1.8,131.0,53.0,
30,24 yrs,24 yrs,NWE,,387,266,121,0,0.687,,,,42.0,30.0,12.0,0.714,1.6,131.0,53.0,
31,5 yrs,5 yrs,CLE,,80,36,44,0,0.45,,,,2.0,1.0,1.0,0.5,3.0,,,
